date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-25,24.4,29.8,20.4,82,0.0,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-45
2022-04-26,24.0,28.9,20.7,81,1.3,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-44
2022-04-27,23.7,28.5,20.2,81,1.9,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-43
2022-04-28,24.2,29.0,18.5,79,0.0,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-42
2022-04-29,24.9,30.2,20.4,81,1.5,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-41
2022-04-30,22.6,27.0,19.6,81,1.0,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-40
2022-05-01,22.5,27.9,18.2,87,1.4,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-39
2022-05-02,22.8,27.6,18.9,87,0.7,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-38
2022-05-03,22.9,28.1,19.7,85,13.9,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-37
2022-05-04,22.2,26.9,18.7,81,5.2,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-36
2022-05-05,24.2,29.1,18.6,75,0.3,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-35
2022-05-06,25.2,29.8,20.7,75,1.0,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-34
2022-05-07,25.7,30.9,22.0,78,0.2,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-33
2022-05-08,26.6,31.1,22.6,75,0.4,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-32
2022-05-09,26.5,31.2,21.6,73,0.0,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-31
2022-05-10,25.2,28.7,22.9,80,2.6,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-30
2022-05-11,24.6,29.4,22.2,88,15.4,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-29
2022-05-12,24.2,27.7,21.6,90,12.5,Karbi Anglong,Acute Diarrhoeal Disease,26.0,93.5,2022-06-09,-28
