date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-05-02,31.7,37.2,26.6,46,0.6,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-45
2022-05-03,31.5,40.2,25.8,51,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-44
2022-05-04,32.5,38.9,26.7,49,0.1,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-43
2022-05-05,32.1,39.0,26.0,47,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-42
2022-05-06,32.6,39.2,25.6,41,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-41
2022-05-07,33.0,39.7,26.1,43,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-40
2022-05-08,33.1,40.3,27.5,42,0.1,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-39
2022-05-09,32.9,38.1,26.7,47,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-38
2022-05-10,34.1,39.4,28.4,45,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-37
2022-05-11,33.4,38.6,29.3,48,0.2,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-36
2022-05-12,34.3,40.1,28.7,47,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-35
2022-05-13,36.3,45.4,28.4,34,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-34
2022-05-14,36.4,45.3,27.4,28,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-33
2022-05-15,37.7,46.6,29.0,39,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-32
2022-05-16,37.4,44.8,31.5,31,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-31
2022-05-17,36.1,44.1,27.7,26,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-30
2022-05-18,35.8,43.3,28.5,32,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-29
2022-05-19,36.2,43.9,27.8,30,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-28
2022-05-20,37.1,45.5,28.3,24,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-27
2022-05-21,35.2,42.5,29.4,39,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-26
2022-05-22,33.8,40.4,28.5,34,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-25
2022-05-23,29.4,39.4,24.8,65,16.2,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-24
2022-05-24,27.8,33.8,23.3,69,2.7,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-23
2022-05-25,29.6,35.8,22.7,54,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-22
2022-05-26,31.7,37.8,24.7,45,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-21
2022-05-27,33.4,39.6,26.3,40,0.4,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-20
2022-05-28,34.1,40.3,27.5,40,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-19
2022-05-29,34.4,40.1,28.5,43,0.3,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-18
2022-05-30,34.2,40.7,27.8,49,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-17
2022-05-31,35.1,41.9,29.1,44,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-16
2022-06-01,35.4,42.9,28.2,35,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-15
2022-06-02,35.8,43.8,27.3,30,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-14
2022-06-03,36.6,43.5,28.3,25,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-13
2022-06-04,37.1,44.5,29.0,22,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-12
2022-06-05,36.1,44.6,27.7,26,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-11
2022-06-06,36.7,44.6,28.2,28,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-10
2022-06-07,37.2,44.8,29.3,28,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-9
2022-06-08,37.2,45.0,29.6,25,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-8
2022-06-09,37.3,44.4,29.1,24,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-7
2022-06-10,36.9,44.0,29.5,29,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-6
2022-06-11,37.2,44.2,30.1,26,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-5
2022-06-12,37.4,44.6,30.4,25,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-4
2022-06-13,37.5,41.8,30.7,31,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-3
2022-06-14,38.6,43.6,33.8,31,0.0,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-2
2022-06-15,36.1,38.6,33.4,40,0.2,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,-1
2022-06-16,34.2,41.7,27.9,51,0.7,Kaushambi,Acute Diarrhoeal Disease,25.53609455,81.44672839,2022-06-16,0
