date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-06,20.0,30.0,11.8,46,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-45
2022-02-07,20.8,29.2,13.2,51,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-44
2022-02-08,21.5,28.9,13.8,57,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-43
2022-02-09,22.6,28.6,17.0,51,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-42
2022-02-10,21.9,28.5,16.9,43,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-41
2022-02-11,21.0,28.1,15.3,40,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-40
2022-02-12,21.2,29.5,14.1,40,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-39
2022-02-13,21.8,30.8,14.1,39,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-38
2022-02-14,22.7,31.1,15.8,40,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-37
2022-02-15,22.4,30.4,14.8,38,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-36
2022-02-16,22.7,31.1,16.2,42,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-35
2022-02-17,23.5,32.1,16.0,34,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-34
2022-02-18,24.9,32.7,17.6,36,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-33
2022-02-19,25.7,33.5,19.1,41,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-32
2022-02-20,24.2,32.2,16.5,27,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-31
2022-02-21,24.5,33.3,16.9,32,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-30
2022-02-22,24.6,33.5,16.9,37,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-29
2022-02-23,24.2,32.9,16.8,46,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-28
2022-02-24,25.1,33.1,17.2,35,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-27
2022-02-25,25.5,34.7,15.9,30,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-26
2022-02-26,24.3,33.4,16.2,32,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-25
2022-02-27,24.9,33.9,17.5,30,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-24
2022-02-28,25.9,33.7,20.0,36,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-23
2022-03-01,26.0,34.6,19.0,33,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-22
2022-03-02,26.8,35.4,19.2,29,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-21
2022-03-03,27.0,34.9,18.9,23,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-20
2022-03-04,25.8,33.7,19.0,29,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-19
2022-03-05,25.8,34.3,19.8,26,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-18
2022-03-06,26.5,36.0,18.5,25,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-17
2022-03-07,28.2,37.3,19.9,26,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-16
2022-03-08,28.6,36.5,21.2,28,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-15
2022-03-09,28.6,36.6,21.8,38,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-14
2022-03-10,28.3,36.4,20.3,33,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-13
2022-03-11,28.5,36.5,22.0,28,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-12
2022-03-12,28.5,37.3,21.7,25,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-11
2022-03-13,28.9,38.0,20.5,26,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-10
2022-03-14,30.5,39.4,21.8,24,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-9
2022-03-15,31.0,40.5,23.7,22,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-8
2022-03-16,31.1,40.6,23.2,21,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-7
2022-03-17,32.0,40.8,24.3,19,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-6
2022-03-18,31.4,41.0,23.0,21,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-5
2022-03-19,31.3,39.8,23.9,21,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-4
2022-03-20,30.7,38.6,23.1,27,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-3
2022-03-21,31.1,39.6,23.1,22,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-2
2022-03-22,31.8,39.7,23.0,14,0.0,Kheda,Acute Diarrhoeal Disease,22.75,72.833333,2022-03-23,-1
