date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-26,30.7,38.0,26.5,75,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-45
2022-04-27,30.4,36.8,26.0,75,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-44
2022-04-28,30.5,37.0,25.7,75,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-43
2022-04-29,30.5,38.4,24.5,74,0.6,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-42
2022-04-30,30.3,35.2,26.1,77,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-41
2022-05-01,29.7,33.8,26.6,80,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-40
2022-05-02,30.1,35.0,26.1,76,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-39
2022-05-03,30.3,35.2,27.3,75,0.2,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-38
2022-05-04,30.8,37.4,27.0,73,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-37
2022-05-05,30.0,35.2,27.5,78,6.1,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-36
2022-05-06,30.0,35.6,26.0,74,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-35
2022-05-07,29.9,35.2,25.8,74,1.6,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-34
2022-05-08,29.6,36.2,25.4,73,0.0,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-33
2022-05-09,29.2,32.8,26.0,74,0.3,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-32
2022-05-10,28.5,32.3,25.6,79,6.7,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-31
2022-05-11,28.4,32.7,25.3,79,3.9,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-30
2022-05-12,29.3,32.7,26.2,77,0.9,Khordha,Acute Diarrhoeal Disease,20.22564715,85.56059465,2022-06-10,-29
