date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-30,28.4,34.9,22.6,53,0.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-45
2022-05-01,28.5,35.3,22.3,48,0.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-44
2022-05-02,28.7,34.8,23.3,50,1.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-43
2022-05-03,27.6,34.7,21.6,58,1.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-42
2022-05-04,26.7,34.1,22.1,63,0.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-41
2022-05-05,26.5,33.5,20.9,64,0.5,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-40
2022-05-06,26.4,33.6,20.9,64,3.8,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-39
2022-05-07,27.7,33.9,21.6,53,0.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-38
2022-05-08,27.7,34.6,21.3,54,0.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-37
2022-05-09,27.1,33.0,21.8,58,0.3,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-36
2022-05-10,24.4,28.0,22.1,78,1.7,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-35
2022-05-11,23.8,26.2,22.3,72,1.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-34
2022-05-12,23.2,27.1,20.6,80,7.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-33
2022-05-13,24.0,28.1,21.0,80,4.8,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-32
2022-05-14,24.5,31.0,20.9,81,22.6,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-31
2022-05-15,25.0,30.8,21.3,80,5.7,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-30
2022-05-16,23.9,29.5,21.6,86,18.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-29
2022-05-17,23.9,29.1,20.9,86,22.7,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-28
2022-05-18,23.5,28.9,21.1,87,24.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-27
2022-05-19,22.7,26.7,20.1,81,0.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-26
2022-05-20,23.3,27.7,19.5,75,1.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-25
2022-05-21,23.7,28.8,19.5,71,0.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-24
2022-05-22,24.3,29.7,21.2,74,0.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-23
2022-05-23,25.1,30.9,20.2,71,0.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-22
2022-05-24,25.4,30.4,20.6,73,0.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-21
2022-05-25,25.6,30.4,21.3,73,2.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-20
2022-05-26,25.0,31.1,21.2,73,2.4,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-19
2022-05-27,25.4,30.8,20.7,65,0.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-18
2022-05-28,25.5,31.2,20.3,64,0.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-17
2022-05-29,25.7,31.5,20.8,65,0.5,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-16
2022-05-30,25.3,31.0,21.0,69,1.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-15
2022-05-31,24.9,31.2,20.1,72,1.0,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-14
2022-06-01,25.2,31.1,20.4,71,0.2,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-13
2022-06-02,25.1,32.1,20.8,73,2.9,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-12
2022-06-03,25.7,32.9,20.7,71,0.1,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-11
2022-06-04,25.8,33.6,20.7,69,2.5,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-10
2022-06-05,26.0,33.1,21.3,69,0.4,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-9
2022-06-06,24.9,31.6,20.3,74,7.6,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-8
2022-06-07,24.7,30.4,20.7,75,0.9,Kolar,Acute Diarrhoeal Disease,13.1367201,78.1337246,2022-06-14,-7
