date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-10,27.9,32.5,24.1,75,0.0,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-45
2022-03-11,27.7,32.9,23.5,72,0.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-44
2022-03-12,27.6,31.9,23.7,76,0.4,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-43
2022-03-13,28.1,33.1,24.0,72,0.0,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-42
2022-03-14,28.2,32.6,24.6,72,0.0,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-41
2022-03-15,28.0,31.3,25.0,75,2.4,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-40
2022-03-16,27.3,31.2,24.3,81,4.3,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-39
2022-03-17,27.2,30.2,23.7,83,1.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-38
2022-03-18,27.8,31.4,23.8,81,8.7,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-37
2022-03-19,26.6,29.8,23.8,84,0.8,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-36
2022-03-20,27.0,29.6,24.2,82,0.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-35
2022-03-21,28.1,30.8,24.7,77,0.0,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-34
2022-03-22,28.3,31.6,24.9,76,0.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-33
2022-03-23,28.2,31.7,25.3,78,3.8,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-32
2022-03-24,27.0,29.6,24.2,80,0.9,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-31
2022-03-25,27.9,30.9,24.4,75,1.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-30
2022-03-26,28.7,31.5,25.0,74,0.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-29
2022-03-27,28.2,31.3,25.8,77,2.8,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-28
2022-03-28,27.3,31.5,24.7,83,7.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-27
2022-03-29,27.6,30.5,24.4,82,4.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-26
2022-03-30,27.4,30.7,24.9,83,5.9,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-25
2022-03-31,27.2,30.9,24.9,84,1.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-24
2022-04-01,26.8,30.3,24.7,86,3.4,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-23
2022-04-02,27.2,30.6,24.4,83,4.4,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-22
2022-04-03,26.9,30.8,24.6,84,5.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-21
2022-04-04,27.3,32.3,24.4,82,3.8,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-20
2022-04-05,27.0,30.2,24.5,82,2.3,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-19
2022-04-06,26.6,30.4,24.3,84,11.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-18
2022-04-07,27.5,31.6,24.0,81,1.7,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-17
2022-04-08,26.5,30.7,24.5,87,22.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-16
2022-04-09,25.9,30.3,23.2,88,17.9,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-15
2022-04-10,26.1,30.1,23.5,88,12.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-14
2022-04-11,26.7,30.4,24.7,87,6.5,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-13
2022-04-12,26.0,29.1,23.9,89,18.6,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-12
2022-04-13,26.0,29.1,24.5,90,20.8,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-11
2022-04-14,26.3,28.9,24.5,88,11.6,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-10
2022-04-15,27.9,30.9,24.2,81,0.3,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-9
2022-04-16,28.2,30.4,25.5,82,1.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-8
2022-04-17,27.3,29.8,24.2,85,3.3,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-7
2022-04-18,27.1,30.2,24.5,85,3.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-6
2022-04-19,26.6,29.1,23.8,86,16.5,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-5
2022-04-20,28.5,31.8,25.2,81,0.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-4
2022-04-21,28.3,31.8,25.8,83,3.5,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-3
2022-04-22,26.8,30.2,24.6,88,5.2,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-2
2022-04-23,27.3,30.0,24.8,83,0.3,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,-1
2022-04-24,27.8,31.0,24.9,83,1.1,Kollam,Acute Diarrhoeal Disease,8.8879509,76.5955013,2022-04-24,0
