date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-12-28,17.1,23.9,11.8,77,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-45
2021-12-29,17.4,23.7,12.0,76,0.3,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-44
2021-12-30,17.2,22.3,14.3,81,0.4,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-43
2021-12-31,17.3,23.9,12.4,75,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-42
2022-01-01,16.7,23.5,11.0,70,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-41
2022-01-02,16.3,22.9,11.2,72,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-40
2022-01-03,16.3,22.9,10.9,64,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-39
2022-01-04,16.4,24.3,10.1,63,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-38
2022-01-05,16.9,24.0,10.3,66,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-37
2022-01-06,17.2,24.8,9.8,69,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-36
2022-01-07,17.4,24.2,11.4,67,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-35
2022-01-08,17.4,24.8,11.4,66,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-34
2022-01-09,17.8,25.5,10.7,68,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-33
2022-01-10,17.7,23.9,12.0,78,1.8,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-32
2022-01-11,18.4,24.2,14.7,76,1.4,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-31
2022-01-12,16.7,22.7,14.5,87,7.6,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-30
2022-01-13,16.9,21.1,14.6,88,21.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-29
2022-01-14,17.5,22.5,14.5,82,9.7,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-28
2022-01-15,16.8,21.0,14.3,86,2.9,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-27
2022-01-16,16.7,22.4,13.5,80,0.1,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-26
2022-01-17,16.2,22.1,12.6,77,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-25
2022-01-18,16.1,21.3,11.0,67,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-24
2022-01-19,16.5,22.0,11.3,66,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-23
2022-01-20,16.3,22.3,10.4,67,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-22
2022-01-21,16.8,23.1,11.1,64,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-21
2022-01-22,17.0,23.7,11.9,60,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-20
2022-01-23,18.0,23.7,13.0,71,1.2,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-19
2022-01-24,17.7,23.5,12.6,72,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-18
2022-01-25,16.4,22.1,10.9,65,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-17
2022-01-26,16.7,22.6,11.2,63,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-16
2022-01-27,15.5,21.3,11.1,63,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-15
2022-01-28,14.8,22.0,10.0,67,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-14
2022-01-29,15.7,23.3,9.8,56,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-13
2022-01-30,16.6,23.5,10.4,52,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-12
2022-01-31,17.7,24.9,10.4,46,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-11
2022-02-01,17.4,24.8,10.6,50,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-10
2022-02-02,18.5,25.2,11.8,54,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-9
2022-02-03,18.0,25.9,10.8,65,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-8
2022-02-04,18.1,22.3,14.0,67,1.2,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-7
2022-02-05,16.3,22.7,10.3,50,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-6
2022-02-06,16.4,24.4,8.7,57,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-5
2022-02-07,17.4,24.9,10.8,58,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-4
2022-02-08,18.1,25.5,11.2,57,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-3
2022-02-09,18.5,27.0,11.3,65,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-2
2022-02-10,18.6,25.0,12.2,67,0.0,Koraput,Acute Diarrhoeal Disease,18.7232023,82.60811828,2022-02-11,-1
