date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-24,26.5,29.8,24.3,86,7.9,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-45
2022-03-25,26.9,29.7,23.9,85,2.6,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-44
2022-03-26,27.8,30.9,24.2,84,2.4,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-43
2022-03-27,27.7,30.5,25.3,86,12.6,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-42
2022-03-28,28.0,32.0,25.1,86,6.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-41
2022-03-29,27.7,30.3,25.3,87,5.7,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-40
2022-03-30,27.6,30.2,24.5,86,14.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-39
2022-03-31,27.3,30.0,23.6,87,19.7,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-38
2022-04-01,27.1,29.6,25.2,89,19.0,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-37
2022-04-02,27.2,30.2,24.9,86,7.9,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-36
2022-04-03,27.4,30.9,24.3,85,5.6,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-35
2022-04-04,27.6,30.6,24.6,87,0.8,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-34
2022-04-05,27.2,30.4,24.9,85,7.7,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-33
2022-04-06,26.6,29.7,24.5,89,10.2,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-32
2022-04-07,27.4,30.2,24.2,88,1.0,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-31
2022-04-08,26.8,30.9,24.6,90,54.2,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-30
2022-04-09,26.3,29.8,23.8,89,21.8,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-29
2022-04-10,26.4,29.5,23.2,89,5.5,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-28
2022-04-11,27.0,30.1,24.3,89,18.5,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-27
2022-04-12,26.5,28.4,24.9,91,23.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-26
2022-04-13,26.2,30.2,24.5,91,41.7,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-25
2022-04-14,25.9,29.4,23.4,89,23.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-24
2022-04-15,27.0,30.3,23.6,86,0.1,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-23
2022-04-16,27.5,30.5,24.4,86,13.1,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-22
2022-04-17,26.3,29.5,23.3,88,8.9,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-21
2022-04-18,26.8,30.4,22.8,86,10.0,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-20
2022-04-19,27.6,30.0,25.0,86,5.6,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-19
2022-04-20,28.3,30.9,24.7,85,0.0,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-18
2022-04-21,28.5,31.3,25.4,88,2.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-17
2022-04-22,27.6,30.5,25.5,89,16.1,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-16
2022-04-23,26.7,29.5,24.4,88,9.9,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-15
2022-04-24,27.9,30.8,25.5,87,5.9,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-14
2022-04-25,28.1,30.3,25.8,89,10.0,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-13
2022-04-26,27.9,30.0,25.6,88,4.2,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-12
2022-04-27,28.7,31.5,25.6,89,3.8,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-11
2022-04-28,27.7,30.5,25.0,87,8.8,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-10
2022-04-29,27.7,30.9,24.4,87,30.1,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-9
2022-04-30,27.7,30.6,24.4,86,1.1,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-8
2022-05-01,27.6,30.1,25.6,88,12.3,Kozhikode,Acute Diarrhoeal Disease,11.2450558,75.7754716,2022-05-08,-7
