date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-14,28.2,36.1,22.1,66,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-45
2022-03-15,28.2,37.3,21.8,67,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-44
2022-03-16,28.6,39.1,22.0,69,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-43
2022-03-17,28.3,38.1,22.2,75,0.1,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-42
2022-03-18,28.2,35.0,22.5,74,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-41
2022-03-19,28.5,35.0,24.4,74,2.4,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-40
2022-03-20,28.3,35.0,23.9,79,0.3,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-39
2022-03-21,29.2,36.2,26.3,79,8.8,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-38
2022-03-22,29.4,35.4,25.3,78,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-37
2022-03-23,29.1,34.0,25.8,79,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-36
2022-03-24,29.0,34.2,25.5,76,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-35
2022-03-25,29.0,34.9,24.6,76,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-34
2022-03-26,29.5,35.5,25.2,74,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-33
2022-03-27,29.7,36.2,25.8,75,2.7,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-32
2022-03-28,30.0,36.5,26.0,76,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-31
2022-03-29,29.9,35.9,25.7,76,1.5,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-30
2022-03-30,30.3,36.7,25.3,76,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-29
2022-03-31,30.3,36.3,26.1,75,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-28
2022-04-01,29.8,34.8,26.1,76,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-27
2022-04-02,29.8,35.1,26.1,72,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-26
2022-04-03,29.5,35.1,25.2,74,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-25
2022-04-04,29.6,34.6,26.1,73,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-24
2022-04-05,29.4,35.2,25.1,72,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-23
2022-04-06,29.4,35.5,24.7,73,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-22
2022-04-07,29.4,35.4,24.9,73,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-21
2022-04-08,29.1,34.7,24.0,74,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-20
2022-04-09,29.9,35.4,25.7,71,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-19
2022-04-10,29.5,35.2,24.8,73,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-18
2022-04-11,29.8,35.8,25.2,71,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-17
2022-04-12,29.7,35.4,24.9,71,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-16
2022-04-13,30.1,35.6,25.6,70,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-15
2022-04-14,30.2,36.2,25.7,73,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-14
2022-04-15,30.8,36.2,26.2,74,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-13
2022-04-16,30.8,37.0,27.1,73,0.1,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-12
2022-04-17,31.1,37.1,27.4,72,0.7,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-11
2022-04-18,31.7,38.4,27.1,70,0.6,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-10
2022-04-19,31.6,38.4,27.0,71,0.0,Krishna,Acute Diarrhoeal Disease,16.21399145,81.02572814,2022-04-28,-9
