date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-06,23.8,26.3,22.5,85,4.9,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-45
2021-01-07,22.7,26.1,20.0,77,6.6,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-44
2021-01-08,24.8,31.4,18.9,67,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-43
2021-01-09,25.1,30.6,21.0,71,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-42
2021-01-10,24.9,31.4,18.8,70,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-41
2021-01-11,25.4,31.4,20.6,63,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-40
2021-01-12,24.9,31.8,18.7,59,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-39
2021-01-13,24.7,31.6,18.3,63,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-38
2021-01-14,24.8,31.4,19.3,63,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-37
2021-01-15,24.9,31.4,18.5,61,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-36
2021-01-16,25.2,31.2,19.6,64,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-35
2021-01-17,25.3,31.4,20.0,60,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-34
2021-01-18,24.8,30.8,19.3,61,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-33
2021-01-19,24.1,30.8,18.2,64,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-32
2021-01-20,24.7,32.7,17.8,55,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-31
2021-01-21,25.7,33.1,18.5,55,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-30
2021-01-22,26.6,33.4,20.2,51,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-29
2021-01-23,26.1,32.9,19.7,53,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-28
2021-01-24,25.7,32.6,19.4,54,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-27
2021-01-25,25.8,33.2,18.9,48,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-26
2021-01-26,26.2,33.6,19.4,46,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-25
2021-01-27,25.9,32.7,19.0,51,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-24
2021-01-28,26.0,32.2,20.1,55,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-23
2021-01-29,25.5,32.2,19.6,55,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-22
2021-01-30,25.7,32.7,19.6,51,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-21
2021-01-31,25.6,32.4,19.1,50,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-20
2021-02-01,26.0,32.2,19.9,47,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-19
2021-02-02,25.2,30.9,19.7,54,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-18
2021-02-03,25.0,31.6,18.4,55,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-17
2021-02-04,25.0,31.5,18.4,47,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-16
2021-02-05,24.7,31.8,18.4,45,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-15
2021-02-06,25.3,32.2,18.5,44,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-14
2021-02-07,25.1,32.1,18.5,46,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-13
2021-02-08,24.8,31.6,18.3,43,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-12
2021-02-09,24.7,31.8,18.0,52,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-11
2021-02-10,24.9,32.1,18.4,47,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-10
2021-02-11,25.5,32.5,18.4,47,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-9
2021-02-12,25.2,32.9,18.2,42,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-8
2021-02-13,25.4,32.9,18.8,41,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-7
2021-02-14,25.4,33.2,17.8,35,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-6
2021-02-15,26.2,33.6,18.5,37,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-5
2021-02-16,26.8,34.3,19.6,36,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-4
2021-02-17,26.6,33.8,19.4,43,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-3
2021-02-18,25.7,32.0,19.3,48,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-2
2021-02-19,22.9,27.6,19.6,64,0.8,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,-1
2021-02-20,23.9,30.4,18.3,60,0.0,Kurnool,Acute Diarrhoeal Disease,15.8309251,78.0425373,2021-02-20,0
