date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-23,29.8,37.8,25.4,44,2.2,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-45
2022-04-24,29.3,35.4,23.6,44,5.9,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-44
2022-04-25,31.8,38.2,25.4,31,0.8,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-43
2022-04-26,33.0,40.2,26.4,27,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-42
2022-04-27,33.8,40.9,26.5,25,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-41
2022-04-28,32.6,39.5,25.9,29,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-40
2022-04-29,33.4,40.8,26.5,26,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-39
2022-04-30,33.4,39.9,27.4,19,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-38
2022-05-01,32.3,39.7,24.3,24,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-37
2022-05-02,33.0,39.6,26.7,25,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-36
2022-05-03,33.3,39.4,26.9,29,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-35
2022-05-04,32.7,38.3,27.4,31,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-34
2022-05-05,32.3,38.5,26.5,30,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-33
2022-05-06,32.6,39.1,25.2,21,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-32
2022-05-07,33.3,39.5,27.5,21,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-31
2022-05-08,33.2,39.1,27.0,26,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-30
2022-05-09,33.7,40.6,26.6,24,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-29
2022-05-10,34.7,40.9,27.3,20,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-28
2022-05-11,33.1,37.8,27.5,29,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-27
2022-05-12,32.4,38.0,27.4,43,0.6,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-26
2022-05-13,32.0,38.3,27.1,43,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-25
2022-05-14,33.9,40.7,28.2,32,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-24
2022-05-15,34.4,40.9,28.2,31,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-23
2022-05-16,33.2,39.1,28.6,36,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-22
2022-05-17,32.7,40.2,26.3,42,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-21
2022-05-18,31.5,37.5,27.9,46,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-20
2022-05-19,29.2,33.5,26.7,61,1.1,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-19
2022-05-20,27.5,36.6,24.4,71,5.6,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-18
2022-05-21,28.7,35.2,23.2,52,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-17
2022-05-22,29.4,36.4,22.4,48,0.0,Latur,Acute Diarrhoeal Disease,18.35159075,76.75542361,2022-06-07,-16
