date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-23,28.7,36.8,19.9,31,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-45
2022-03-24,29.3,38.6,20.4,23,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-44
2022-03-25,28.9,37.6,19.8,23,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-43
2022-03-26,29.0,37.6,20.2,24,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-42
2022-03-27,29.4,39.0,18.6,22,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-41
2022-03-28,29.9,39.3,18.9,21,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-40
2022-03-29,30.3,39.5,19.2,18,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-39
2022-03-30,29.9,39.6,19.6,20,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-38
2022-03-31,30.3,39.0,20.2,25,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-37
2022-04-01,30.5,39.1,21.3,24,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-36
2022-04-02,30.9,39.9,20.4,24,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-35
2022-04-03,30.9,39.7,21.4,21,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-34
2022-04-04,31.0,40.5,19.9,17,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-33
2022-04-05,31.1,39.9,21.7,18,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-32
2022-04-06,31.2,40.6,20.1,20,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-31
2022-04-07,31.8,40.3,21.8,20,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-30
2022-04-08,32.5,41.3,23.8,17,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-29
2022-04-09,32.7,42.2,20.8,17,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-28
2022-04-10,33.0,41.6,22.8,18,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-27
2022-04-11,33.5,41.9,24.5,22,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-26
2022-04-12,32.9,40.3,24.0,19,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-25
2022-04-13,31.7,40.1,22.3,16,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-24
2022-04-14,31.7,40.5,21.4,18,0.0,Mandsaur,Acute Diarrhoeal Disease,24.2651306,75.38718194,2022-05-07,-23
