date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-21,20.5,26.6,16.3,68,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-45
2020-12-22,20.9,27.7,14.9,69,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-44
2020-12-23,22.1,28.1,17.6,72,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-43
2020-12-24,22.9,29.0,18.1,70,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-42
2020-12-25,22.3,28.4,17.5,68,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-41
2020-12-26,21.0,28.1,16.3,67,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-40
2020-12-27,21.3,29.5,15.0,66,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-39
2020-12-28,21.1,28.9,16.0,63,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-38
2020-12-29,22.4,29.8,15.5,68,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-37
2020-12-30,24.2,30.3,19.6,69,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-36
2020-12-31,22.6,26.6,19.7,76,0.2,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-35
2021-01-01,22.2,27.9,17.8,67,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-34
2021-01-02,22.0,30.0,15.8,71,0.3,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-33
2021-01-03,22.7,28.6,19.2,78,0.4,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-32
2021-01-04,22.6,26.7,20.4,79,3.5,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-31
2021-01-05,23.1,27.9,19.2,76,1.5,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-30
2021-01-06,22.8,28.0,19.5,83,10.1,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-29
2021-01-07,22.7,27.3,19.9,85,1.9,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-28
2021-01-08,23.5,28.6,20.2,81,4.2,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-27
2021-01-09,23.2,27.2,20.2,79,0.9,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-26
2021-01-10,23.4,27.3,20.2,74,0.0,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-25
2021-01-11,22.8,26.3,19.8,76,0.2,Mandya,Acute Diarrhoeal Disease,12.5238888,76.8961961,2021-02-04,-24
