date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,30.7,37.3,27.3,49,1.2,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-45
2022-04-17,30.9,36.8,25.3,47,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-44
2022-04-18,30.9,35.4,26.6,40,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-43
2022-04-19,30.5,37.9,23.4,46,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-42
2022-04-20,30.1,35.9,24.5,55,1.6,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-41
2022-04-21,28.3,32.9,24.8,78,6.3,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-40
2022-04-22,28.2,33.2,23.9,71,4.1,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-39
2022-04-23,29.6,34.1,24.9,55,3.1,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-38
2022-04-24,31.7,38.2,28.0,43,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-37
2022-04-25,30.2,35.1,25.1,43,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-36
2022-04-26,30.6,35.6,26.6,44,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-35
2022-04-27,30.9,36.0,26.7,49,4.7,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-34
2022-04-28,31.4,38.8,25.6,48,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-33
2022-04-29,30.9,37.9,25.6,49,0.0,Mayurbhanj,Acute Diarrhoeal Disease,21.75,86.5,2022-05-31,-32
