date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-03,31.1,40.0,23.4,26,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-45
2022-04-04,32.5,41.5,23.3,14,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-44
2022-04-05,31.7,40.8,22.9,16,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-43
2022-04-06,32.2,40.9,22.8,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-42
2022-04-07,32.4,40.8,22.6,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-41
2022-04-08,32.6,41.5,23.1,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-40
2022-04-09,33.0,42.7,23.8,15,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-39
2022-04-10,32.9,42.2,23.7,19,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-38
2022-04-11,33.5,42.7,24.6,27,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-37
2022-04-12,33.9,43.2,25.6,33,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-36
2022-04-13,32.9,39.9,26.1,43,0.5,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-35
2022-04-14,34.8,42.0,26.4,23,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-34
2022-04-15,33.8,41.5,25.5,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-33
2022-04-16,33.1,41.2,25.1,20,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-32
2022-04-17,34.4,42.5,25.5,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-31
2022-04-18,35.1,44.4,24.9,15,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-30
2022-04-19,34.2,43.4,25.8,19,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-29
2022-04-20,34.7,42.9,27.0,22,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-28
2022-04-21,33.3,40.8,26.5,41,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-27
2022-04-22,33.2,38.9,27.9,32,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-26
2022-04-23,33.5,41.2,25.0,22,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-25
2022-04-24,33.9,41.4,25.6,18,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-24
2022-04-25,34.5,42.3,25.8,15,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-23
2022-04-26,34.5,42.2,27.2,16,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-22
2022-04-27,34.9,43.0,26.5,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-21
2022-04-28,35.0,43.8,26.0,17,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-20
2022-04-29,36.1,44.9,26.2,18,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-19
2022-04-30,35.7,44.4,27.1,25,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-18
2022-05-01,32.1,38.4,26.9,51,1.2,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-17
2022-05-02,31.6,37.5,26.1,48,0.9,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-16
2022-05-03,32.2,40.1,26.2,50,0.8,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-15
2022-05-04,33.0,39.1,26.9,46,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-14
2022-05-05,32.5,39.0,26.8,44,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-13
2022-05-06,32.8,39.5,26.0,42,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-12
2022-05-07,32.7,39.0,26.1,45,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-11
2022-05-08,32.7,38.9,26.7,44,0.1,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-10
2022-05-09,33.0,38.6,27.0,48,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-9
2022-05-10,33.5,37.7,28.5,46,0.6,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-8
2022-05-11,34.1,39.4,28.6,47,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-7
2022-05-12,33.9,39.3,28.7,51,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-6
2022-05-13,36.3,44.3,28.5,35,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-5
2022-05-14,35.7,44.3,26.8,33,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-4
2022-05-15,37.2,45.3,29.4,40,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-3
2022-05-16,36.8,44.3,29.5,37,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-2
2022-05-17,36.1,44.2,28.6,32,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,-1
2022-05-18,35.3,42.6,27.7,35,0.0,Mirzapur,Acute Diarrhoeal Disease,25.1010477,82.62574936,2022-05-18,0
