date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-29,29.5,38.8,21.2,22,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-45
2022-03-30,29.7,39.3,20.9,25,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-44
2022-03-31,30.2,39.4,20.5,24,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-43
2022-04-01,29.5,37.6,21.8,26,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-42
2022-04-02,28.7,38.3,19.1,24,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-41
2022-04-03,30.2,40.0,22.6,17,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-40
2022-04-04,29.7,39.5,20.2,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-39
2022-04-05,30.0,39.7,21.1,20,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-38
2022-04-06,30.0,39.7,19.9,20,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-37
2022-04-07,30.8,40.0,21.3,19,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-36
2022-04-08,31.1,40.9,20.8,16,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-35
2022-04-09,32.5,42.2,23.3,15,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-34
2022-04-10,33.4,42.0,25.3,17,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-33
2022-04-11,33.1,42.1,25.1,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-32
2022-04-12,33.3,40.9,24.4,22,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-31
2022-04-13,32.9,39.8,27.1,17,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-30
2022-04-14,31.7,39.7,23.9,20,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-29
2022-04-15,31.7,40.0,24.0,22,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-28
2022-04-16,32.2,40.5,23.3,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-27
2022-04-17,32.3,41.3,22.9,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-26
2022-04-18,33.6,42.3,26.7,19,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-25
2022-04-19,34.3,41.9,26.5,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-24
2022-04-20,33.7,41.5,26.8,19,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-23
2022-04-21,31.7,38.9,26.1,24,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-22
2022-04-22,31.1,39.0,22.6,27,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-21
2022-04-23,31.7,40.2,23.5,23,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-20
2022-04-24,32.2,41.2,23.9,20,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-19
2022-04-25,32.7,41.1,23.9,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-18
2022-04-26,34.0,41.3,26.5,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-17
2022-04-27,34.7,42.7,26.3,18,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-16
2022-04-28,35.2,43.5,25.7,17,0.0,Morena,Acute Diarrhoeal Disease,26.166667,77.5,2022-05-13,-15
