date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-15,25.1,33.4,20.5,78,8.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-45
2022-04-16,24.9,31.9,21.3,78,6.3,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-44
2022-04-17,24.6,30.3,20.3,79,27.9,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-43
2022-04-18,24.1,31.4,19.7,80,5.9,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-42
2022-04-19,25.6,32.3,20.3,73,0.2,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-41
2022-04-20,26.5,33.3,20.6,69,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-40
2022-04-21,26.8,33.2,21.9,66,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-39
2022-04-22,26.3,32.8,21.5,66,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-38
2022-04-23,26.3,32.2,21.4,67,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-37
2022-04-24,26.4,31.6,21.9,67,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-36
2022-04-25,26.8,33.6,21.2,64,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-35
2022-04-26,27.2,33.9,20.9,63,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-34
2022-04-27,27.8,35.3,21.8,61,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-33
2022-04-28,27.9,34.3,22.8,64,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-32
2022-04-29,27.7,36.2,22.0,66,0.3,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-31
2022-04-30,28.0,34.7,22.2,64,0.1,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-30
2022-05-01,26.6,33.3,22.9,73,3.6,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-29
2022-05-02,26.3,34.7,21.6,73,0.5,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-28
2022-05-03,26.7,34.5,21.6,69,0.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-27
2022-05-04,25.9,33.6,21.6,77,8.2,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-26
2022-05-05,25.0,32.4,21.4,80,2.8,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-25
2022-05-06,24.9,32.3,21.1,79,5.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-24
2022-05-07,25.2,31.3,20.3,75,18.3,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-23
2022-05-08,26.4,33.1,21.3,71,1.6,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-22
2022-05-09,25.8,30.8,22.3,78,0.8,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-21
2022-05-10,24.4,28.0,21.8,82,5.1,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-20
2022-05-11,23.2,25.7,21.6,83,1.5,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-19
2022-05-12,22.8,25.6,21.0,83,8.6,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-18
2022-05-13,23.0,27.6,20.9,87,24.6,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-17
2022-05-14,23.7,29.0,20.8,86,3.9,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-16
2022-05-15,23.4,28.6,20.9,88,19.4,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-15
2022-05-16,23.4,28.3,21.4,90,31.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-14
2022-05-17,22.6,26.5,21.0,92,40.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-13
2022-05-18,22.5,26.7,20.5,91,18.1,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-12
2022-05-19,21.8,24.6,19.9,86,3.1,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-11
2022-05-20,23.3,27.8,19.6,83,0.9,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-10
2022-05-21,23.8,28.7,20.5,80,2.1,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-9
2022-05-22,22.9,26.8,20.9,86,10.9,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-8
2022-05-23,25.0,30.5,21.3,77,0.3,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-7
2022-05-24,25.4,30.4,21.9,76,3.8,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-6
2022-05-25,25.4,30.6,21.6,77,0.7,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-5
2022-05-26,24.4,30.5,21.6,83,7.8,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-4
2022-05-27,24.2,29.8,21.0,78,1.5,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-3
2022-05-28,24.3,30.7,20.6,75,0.3,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-2
2022-05-29,24.7,30.1,20.3,73,0.0,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,-1
2022-05-30,24.7,30.3,21.2,76,2.5,Mysuru,Acute Diarrhoeal Disease,12.3051828,76.6553609,2022-05-30,0
