date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-05-01,36.1,42.3,28.6,19,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-45
2022-05-02,36.4,42.7,30.3,22,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-44
2022-05-03,35.6,42.6,28.6,25,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-43
2022-05-04,35.6,42.4,28.5,24,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-42
2022-05-05,35.7,42.4,29.1,19,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-41
2022-05-06,34.7,42.1,26.0,18,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-40
2022-05-07,34.4,39.9,27.9,24,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-39
2022-05-08,35.2,42.6,27.0,21,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-38
2022-05-09,36.0,43.1,28.7,19,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-37
2022-05-10,35.4,44.0,29.1,25,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-36
2022-05-11,35.1,41.1,29.4,37,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-35
2022-05-12,34.9,40.9,30.7,44,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-34
2022-05-13,36.5,42.7,30.5,34,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-33
2022-05-14,37.2,43.9,31.0,27,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-32
2022-05-15,37.6,43.4,31.3,25,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-31
2022-05-16,36.3,41.4,30.6,33,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-30
2022-05-17,36.7,42.8,30.7,28,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-29
2022-05-18,35.3,41.2,30.0,39,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-28
2022-05-19,34.5,39.7,29.1,42,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-27
2022-05-20,35.7,41.9,30.3,40,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-26
2022-05-21,36.5,42.9,30.7,30,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-25
2022-05-22,34.8,40.9,30.3,30,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-24
2022-05-23,34.1,39.7,29.1,35,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-23
2022-05-24,31.2,38.1,26.3,48,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-22
2022-05-25,33.5,40.3,26.7,40,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-21
2022-05-26,33.5,39.8,27.5,38,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-20
2022-05-27,34.6,41.5,27.6,32,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-19
2022-05-28,35.0,40.8,28.9,29,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-18
2022-05-29,34.9,40.9,29.9,32,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-17
2022-05-30,34.8,41.9,29.3,34,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-16
2022-05-31,35.5,41.7,30.6,32,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-15
2022-06-01,36.4,42.8,30.4,27,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-14
2022-06-02,37.1,43.3,30.3,22,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-13
2022-06-03,37.9,43.9,32.0,19,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-12
2022-06-04,38.1,43.6,32.3,19,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-11
2022-06-05,38.2,44.1,31.9,18,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-10
2022-06-06,38.2,44.7,32.8,17,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-9
2022-06-07,37.3,42.8,31.8,20,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-8
2022-06-08,37.2,42.8,32.0,22,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-7
2022-06-09,36.0,41.5,31.9,33,0.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-6
2022-06-10,33.7,41.0,26.9,45,3.9,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-5
2022-06-11,33.1,39.1,28.6,47,3.0,Nagpur,Acute Diarrhoeal Disease,21.1498134,79.0820556,2022-06-15,-4
