date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-25,22.4,28.9,17.0,53,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-45
2022-01-26,22.9,29.4,17.5,55,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-44
2022-01-27,22.8,28.8,17.7,52,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-43
2022-01-28,22.1,28.4,17.4,40,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-42
2022-01-29,21.1,28.8,14.2,43,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-41
2022-01-30,22.1,30.1,14.5,44,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-40
2022-01-31,22.5,31.5,14.3,49,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-39
2022-02-01,24.0,32.1,16.6,55,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-38
2022-02-02,25.2,32.6,17.9,62,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-37
2022-02-03,25.4,32.3,19.7,63,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-36
2022-02-04,24.6,31.2,19.0,57,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-35
2022-02-05,22.7,30.1,15.8,44,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-34
2022-02-06,23.3,30.8,16.1,51,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-33
2022-02-07,24.8,31.5,18.9,67,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-32
2022-02-08,25.7,32.3,19.5,63,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-31
2022-02-09,25.7,32.7,20.2,64,0.1,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-30
2022-02-10,24.7,31.4,19.3,65,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-29
2022-02-11,25.2,31.4,19.3,57,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-28
2022-02-12,24.4,30.9,19.2,50,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-27
2022-02-13,23.2,30.7,16.3,50,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-26
2022-02-14,24.5,31.2,18.5,64,0.1,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-25
2022-02-15,25.1,32.2,19.0,64,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-24
2022-02-16,25.6,31.3,19.9,62,0.1,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-23
2022-02-17,25.5,31.6,19.4,57,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-22
2022-02-18,25.3,32.6,18.9,58,0.2,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-21
2022-02-19,24.9,32.8,18.8,62,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-20
2022-02-20,26.5,35.0,18.8,47,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-19
2022-02-21,26.2,33.6,19.1,51,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-18
2022-02-22,26.6,34.3,19.1,48,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-17
2022-02-23,27.0,33.7,20.9,62,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-16
2022-02-24,26.3,33.6,20.0,59,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-15
2022-02-25,26.4,34.7,19.6,48,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-14
2022-02-26,25.3,33.5,17.9,57,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-13
2022-02-27,25.7,33.5,19.2,56,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-12
2022-02-28,25.7,34.4,18.3,43,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-11
2022-03-01,26.8,35.0,19.0,40,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-10
2022-03-02,26.7,35.1,18.9,48,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-9
2022-03-03,27.1,35.3,19.1,44,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-8
2022-03-04,27.1,34.9,19.7,47,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-7
2022-03-05,26.8,34.9,19.6,48,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-6
2022-03-06,27.4,34.6,20.4,51,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-5
2022-03-07,28.1,35.5,21.6,48,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-4
2022-03-08,28.4,35.4,21.4,46,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-3
2022-03-09,29.1,36.5,22.2,40,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-2
2022-03-10,28.7,35.7,21.5,41,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,-1
2022-03-11,29.4,36.5,22.0,36,0.0,Nalgonda,Dengue,16.8579636,79.21749353,2022-03-11,0
