date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-01,33.6,40.8,27.0,44,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-45
2022-04-02,33.1,39.9,26.5,49,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-44
2022-04-03,32.9,40.1,26.1,47,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-43
2022-04-04,32.8,39.6,26.2,46,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-42
2022-04-05,32.3,39.9,25.9,47,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-41
2022-04-06,32.4,39.8,25.4,45,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-40
2022-04-07,32.2,39.3,24.9,44,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-39
2022-04-08,31.9,40.2,24.8,45,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-38
2022-04-09,31.7,38.7,24.7,51,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-37
2022-04-10,31.8,38.8,25.5,49,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-36
2022-04-11,32.1,41.2,24.6,50,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-35
2022-04-12,32.2,41.1,24.9,47,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-34
2022-04-13,31.8,39.3,24.7,54,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-33
2022-04-14,32.7,40.1,26.4,51,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-32
2022-04-15,32.9,38.2,28.0,44,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-31
2022-04-16,32.7,40.8,28.4,45,0.1,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-30
2022-04-17,32.1,38.0,26.9,44,0.1,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-29
2022-04-18,33.0,39.7,27.9,44,0.2,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-28
2022-04-19,33.4,40.2,27.3,44,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-27
2022-04-20,34.2,40.9,27.0,40,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-26
2022-04-21,33.7,40.2,27.2,46,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-25
2022-04-22,32.6,40.2,26.2,49,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-24
2022-04-23,33.0,40.0,26.6,45,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-23
2022-04-24,33.7,40.2,27.1,41,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-22
2022-04-25,34.8,41.6,27.7,35,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-21
2022-04-26,35.1,40.8,29.6,37,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-20
2022-04-27,34.8,41.8,27.8,39,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-19
2022-04-28,34.7,41.9,27.8,35,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-18
2022-04-29,35.3,42.8,27.8,37,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-17
2022-04-30,36.3,43.5,29.7,32,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-16
2022-05-01,36.0,42.6,29.2,32,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-15
2022-05-02,35.7,42.6,29.4,31,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-14
2022-05-03,35.3,42.0,29.4,36,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-13
2022-05-04,33.5,39.1,29.5,51,0.6,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-12
2022-05-05,33.5,39.4,28.2,47,0.1,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-11
2022-05-06,34.9,40.9,28.8,39,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-10
2022-05-07,35.0,41.3,28.4,39,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-9
2022-05-08,34.6,40.9,28.8,38,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-8
2022-05-09,35.5,41.3,28.8,33,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-7
2022-05-10,33.2,38.5,29.6,44,0.4,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-6
2022-05-11,28.1,32.9,24.9,75,19.6,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-5
2022-05-12,27.3,33.0,24.7,82,36.1,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-4
2022-05-13,29.4,35.4,24.0,73,0.8,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-3
2022-05-14,30.7,36.1,25.7,69,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-2
2022-05-15,31.2,36.2,26.1,65,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,-1
2022-05-16,31.3,35.7,26.9,66,0.0,Nandyal,Acute Diarrhoeal Disease,15.52481495,78.41517104,2022-05-16,0
