date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,32.4,40.4,24.2,17,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-45
2022-04-17,32.8,40.7,23.9,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-44
2022-04-18,33.5,41.6,25.9,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-43
2022-04-19,34.3,42.3,25.7,17,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-42
2022-04-20,34.3,42.8,26.2,16,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-41
2022-04-21,34.1,41.5,26.5,19,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-40
2022-04-22,32.6,39.6,25.9,28,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-39
2022-04-23,33.5,41.2,24.8,26,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-38
2022-04-24,33.5,41.2,25.1,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-37
2022-04-25,33.4,41.7,24.8,16,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-36
2022-04-26,33.6,41.7,25.5,16,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-35
2022-04-27,34.2,42.4,25.6,15,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-34
2022-04-28,34.7,42.9,25.2,14,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-33
2022-04-29,35.1,43.2,25.7,14,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-32
2022-04-30,35.2,42.2,28.8,15,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-31
2022-05-01,35.2,41.7,28.8,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-30
2022-05-02,34.9,42.4,27.4,23,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-29
2022-05-03,35.2,42.1,27.7,23,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-28
2022-05-04,35.6,41.9,29.5,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-27
2022-05-05,34.2,41.3,26.9,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-26
2022-05-06,34.3,41.3,26.6,20,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-25
2022-05-07,33.8,39.2,27.8,23,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-24
2022-05-08,34.7,42.2,25.4,19,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-23
2022-05-09,35.9,43.2,27.7,18,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-22
2022-05-10,34.8,41.8,27.2,27,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-21
2022-05-11,35.4,42.2,28.6,28,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-20
2022-05-12,35.6,41.9,28.2,30,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-19
2022-05-13,36.7,43.3,28.9,25,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-18
2022-05-14,36.8,43.7,29.9,19,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-17
2022-05-15,36.9,42.5,31.5,23,0.0,Narsinghpur,Acute Diarrhoeal Disease,22.9467047,79.1980228,2022-05-31,-16
