date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-31,28.0,34.4,23.6,71,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-45
2022-04-01,27.4,34.4,21.9,75,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-44
2022-04-02,27.7,34.9,22.8,72,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-43
2022-04-03,27.7,33.6,22.9,76,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-42
2022-04-04,28.8,35.7,22.7,69,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-41
2022-04-05,29.3,35.7,23.6,68,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-40
2022-04-06,29.5,35.7,23.6,64,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-39
2022-04-07,29.9,37.6,22.8,61,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-38
2022-04-08,30.3,37.6,23.4,58,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-37
2022-04-09,29.8,37.5,24.2,65,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-36
2022-04-10,29.5,35.4,24.8,65,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-35
2022-04-11,29.4,34.9,24.8,67,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-34
2022-04-12,30.1,38.0,24.3,61,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-33
2022-04-13,31.2,39.3,24.1,53,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-32
2022-04-14,30.5,38.9,23.7,57,0.0,Navsari,Acute Diarrhoeal Disease,20.952407,72.9323831,2022-05-15,-31
