date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-02-02,15.8,24.0,8.9,71,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-45
2021-02-03,16.9,25.0,9.7,69,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-44
2021-02-04,17.7,26.5,10.8,68,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-43
2021-02-05,19.0,27.2,10.9,67,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-42
2021-02-06,20.3,27.6,12.8,64,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-41
2021-02-07,19.4,25.1,13.8,64,0.2,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-40
2021-02-08,18.7,26.8,12.6,63,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-39
2021-02-09,18.7,27.5,11.7,65,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-38
2021-02-10,19.9,27.4,12.6,65,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-37
2021-02-11,20.8,28.2,14.1,73,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-36
2021-02-12,21.5,28.9,16.9,72,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-35
2021-02-13,21.2,28.4,15.2,76,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-34
2021-02-14,22.3,29.1,17.2,76,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-33
2021-02-15,23.0,28.8,18.2,75,0.1,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-32
2021-02-16,23.4,30.5,17.8,72,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-31
2021-02-17,23.1,30.1,17.3,70,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-30
2021-02-18,22.8,29.8,16.7,65,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-29
2021-02-19,23.2,30.2,17.1,62,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-28
2021-02-20,22.8,27.4,18.5,66,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-27
2021-02-21,23.1,30.1,16.2,60,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-26
2021-02-22,23.0,30.4,16.0,60,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-25
2021-02-23,23.5,30.5,17.0,67,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-24
2021-02-24,23.9,31.4,18.5,71,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-23
2021-02-25,25.1,32.8,18.2,65,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-22
2021-02-26,26.0,34.0,20.2,66,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-21
2021-02-27,26.0,34.2,19.5,64,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-20
2021-02-28,27.0,34.5,21.2,67,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-19
2021-03-01,27.1,34.8,23.0,74,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-18
2021-03-02,26.5,33.2,21.1,70,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-17
2021-03-03,25.8,32.5,20.2,60,0.1,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-16
2021-03-04,25.5,32.3,19.1,69,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-15
2021-03-05,26.7,34.0,20.5,71,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-14
2021-03-06,27.8,34.8,22.4,55,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-13
2021-03-07,26.9,33.8,19.0,62,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-12
2021-03-08,27.3,34.0,23.0,74,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-11
2021-03-09,28.0,35.2,23.1,69,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-10
2021-03-10,27.8,33.8,23.9,74,0.1,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-9
2021-03-11,27.8,33.2,23.1,76,0.5,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-8
2021-03-12,27.7,33.5,22.9,74,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-7
2021-03-13,25.8,32.6,21.6,80,4.2,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-6
2021-03-14,24.8,31.6,18.7,69,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-5
2021-03-15,26.4,32.0,20.8,70,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-4
2021-03-16,27.1,34.0,21.1,64,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-3
2021-03-17,26.8,34.8,20.4,63,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-2
2021-03-18,27.1,34.5,21.1,67,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2021-03-19,-1
