date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-19,16.6,22.5,12.9,81,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-45
2022-01-20,17.0,22.8,11.9,79,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-44
2022-01-21,17.6,24.4,11.6,83,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-43
2022-01-22,18.1,22.6,14.6,90,3.7,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-42
2022-01-23,19.1,24.5,15.3,89,12.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-41
2022-01-24,17.6,20.9,14.7,92,2.3,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-40
2022-01-25,18.9,24.5,13.4,84,0.2,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-39
2022-01-26,19.3,25.0,15.9,84,2.6,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-38
2022-01-27,17.9,23.5,12.6,78,0.1,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-37
2022-01-28,15.5,21.5,11.3,69,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-36
2022-01-29,15.1,21.5,9.6,74,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-35
2022-01-30,15.8,23.0,9.1,76,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-34
2022-01-31,17.5,25.2,10.2,78,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-33
2022-02-01,19.8,26.5,14.2,74,0.0,North 24 Parganas,Acute Diarrhoeal Disease,22.642931,88.8930579,2022-03-05,-32
