date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-09,28.3,35.7,23.2,54,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-45
2022-02-10,28.5,36.1,23.1,49,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-44
2022-02-11,29.5,36.3,24.5,44,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-43
2022-02-12,28.8,34.3,25.2,55,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-42
2022-02-13,29.2,35.7,24.1,49,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-41
2022-02-14,28.8,36.0,23.5,55,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-40
2022-02-15,28.6,35.3,24.1,58,0.7,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-39
2022-02-16,27.5,35.4,22.5,65,8.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-38
2022-02-17,28.2,35.9,22.2,62,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-37
2022-02-18,28.8,36.3,22.6,53,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-36
2022-02-19,29.2,36.6,24.1,53,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-35
2022-02-20,29.5,36.5,24.8,55,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-34
2022-02-21,29.1,36.3,23.9,65,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-33
2022-02-22,29.2,35.7,24.3,64,0.2,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-32
2022-02-23,29.8,37.0,23.0,48,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-31
2022-02-24,29.4,36.0,24.3,45,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-30
2022-02-25,29.5,37.0,23.9,48,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-29
2022-02-26,29.1,36.4,24.1,47,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-28
2022-02-27,29.9,37.0,24.6,52,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-27
2022-02-28,29.6,36.6,24.3,51,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-26
2022-03-01,29.3,37.1,22.5,47,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-25
2022-03-02,30.2,37.1,24.7,23,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-24
2022-03-03,30.3,37.6,24.7,28,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-23
2022-03-04,30.1,38.8,23.1,35,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-22
2022-03-05,30.1,37.8,24.1,50,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-21
2022-03-06,30.1,38.3,24.5,53,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-20
2022-03-07,29.6,37.0,23.9,54,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-19
2022-03-08,29.9,36.7,25.2,57,1.6,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-18
2022-03-09,29.8,38.7,23.6,58,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-17
2022-03-10,30.4,38.5,23.8,49,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-16
2022-03-11,30.4,39.4,23.3,52,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-15
2022-03-12,30.4,39.4,23.9,55,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-14
2022-03-13,31.2,39.5,23.0,43,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-13
2022-03-14,30.9,40.0,23.5,49,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-12
2022-03-15,30.2,37.6,25.0,62,0.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-11
2022-03-16,29.4,36.7,25.1,69,2.9,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-10
2022-03-17,29.1,36.4,24.9,70,1.2,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-9
2022-03-18,29.7,37.6,24.7,68,0.8,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-8
2022-03-19,28.6,35.1,23.8,70,1.4,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-7
2022-03-20,28.2,32.7,24.9,72,1.9,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-6
2022-03-21,28.9,35.7,23.4,70,0.6,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-5
2022-03-22,29.1,36.6,24.3,71,1.2,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-4
2022-03-23,28.5,34.4,24.7,75,9.0,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-3
2022-03-24,27.2,32.1,24.0,79,2.5,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-2
2022-03-25,27.7,33.6,23.7,76,2.2,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,-1
2022-03-26,28.8,34.5,24.8,73,3.6,Palakkad,Dengue,10.78789845,76.47408711,2022-03-26,0
