date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-09,22.4,31.1,14.3,48,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-45
2022-03-10,22.4,29.4,16.9,50,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-44
2022-03-11,21.9,29.5,15.1,56,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-43
2022-03-12,22.3,30.6,15.1,52,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-42
2022-03-13,23.5,31.3,16.7,58,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-41
2022-03-14,24.0,31.8,16.1,66,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-40
2022-03-15,25.7,33.4,18.1,65,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-39
2022-03-16,27.0,34.3,20.6,58,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-38
2022-03-17,26.1,33.1,18.6,68,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-37
2022-03-18,27.2,33.7,21.8,67,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-36
2022-03-19,27.0,34.4,19.9,61,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-35
2022-03-20,27.1,35.5,19.6,54,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-34
2022-03-21,27.3,35.7,18.9,45,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-33
2022-03-22,27.2,34.6,20.9,44,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-32
2022-03-23,26.6,34.6,18.0,41,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-31
2022-03-24,26.5,33.8,19.8,38,0.0,Panipat,Acute Diarrhoeal Disease,29.3912753,76.9771675,2022-04-23,-30
