date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-26,24.1,30.9,17.7,69,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-45
2022-02-27,23.9,32.0,18.2,77,0.3,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-44
2022-02-28,24.6,31.9,18.8,69,0.3,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-43
2022-03-01,24.5,31.0,18.4,70,1.5,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-42
2022-03-02,24.3,31.5,18.4,68,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-41
2022-03-03,24.4,31.4,17.3,64,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-40
2022-03-04,24.8,32.2,19.3,56,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-39
2022-03-05,25.6,34.2,18.3,58,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-38
2022-03-06,25.2,32.5,18.5,53,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-37
2022-03-07,24.0,32.1,17.9,52,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-36
2022-03-08,24.7,33.1,17.0,48,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-35
2022-03-09,24.5,32.9,16.3,49,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-34
2022-03-10,25.0,33.1,16.8,52,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-33
2022-03-11,25.4,33.5,17.3,50,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-32
2022-03-12,25.7,33.4,18.0,50,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-31
2022-03-13,25.6,33.7,17.8,49,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-30
2022-03-14,25.8,34.2,18.2,51,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-29
2022-03-15,26.8,35.7,17.9,51,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-28
2022-03-16,28.3,37.0,20.5,58,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-27
2022-03-17,28.5,37.0,22.6,67,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-26
2022-03-18,28.7,36.9,22.6,59,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-25
2022-03-19,29.1,36.9,23.4,46,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-24
2022-03-20,28.8,37.8,22.3,59,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-23
2022-03-21,29.5,38.3,23.2,67,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-22
2022-03-22,29.7,37.9,24.2,69,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-21
2022-03-23,30.2,39.0,24.4,64,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-20
2022-03-24,29.5,38.7,22.7,65,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-19
2022-03-25,29.8,38.6,23.8,69,0.2,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-18
2022-03-26,30.4,37.9,25.5,65,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-17
2022-03-27,30.3,37.6,24.6,65,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-16
2022-03-28,30.1,38.7,24.1,63,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-15
2022-03-29,30.1,39.3,23.7,67,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-14
2022-03-30,29.5,36.5,24.3,76,0.6,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-13
2022-03-31,29.9,36.5,25.3,75,0.7,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-12
2022-04-01,30.3,37.1,26.1,74,0.4,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-11
2022-04-02,30.2,37.0,25.5,72,0.1,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-10
2022-04-03,29.5,36.9,25.7,76,1.5,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-9
2022-04-04,29.9,36.6,26.1,73,0.7,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-8
2022-04-05,29.5,35.6,25.3,73,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-7
2022-04-06,29.6,36.5,25.2,73,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-6
2022-04-07,29.6,36.7,24.3,73,0.8,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-5
2022-04-08,30.1,37.3,24.6,67,0.4,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-4
2022-04-09,30.5,38.7,25.1,67,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-3
2022-04-10,30.9,39.2,25.4,70,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-2
2022-04-11,31.5,38.9,26.1,65,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,-1
2022-04-12,30.9,37.8,25.5,70,0.0,Paschim Medinipur,Acute Diarrhoeal Disease,22.3599134,87.41331448,2022-04-12,0
