date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-11-27,22.0,29.2,17.0,75,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-45
2021-11-28,22.5,30.0,17.5,69,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-44
2021-11-29,22.2,29.6,16.2,63,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-43
2021-11-30,21.9,28.7,17.2,63,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-42
2021-12-01,21.2,23.9,19.5,67,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-41
2021-12-02,19.7,23.7,16.4,72,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-40
2021-12-03,19.1,25.4,14.0,72,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-39
2021-12-04,21.0,26.4,16.5,74,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-38
2021-12-05,21.7,26.1,18.7,76,0.2,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-37
2021-12-06,21.4,27.7,16.7,70,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-36
2021-12-07,22.0,28.2,18.1,63,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-35
2021-12-08,20.5,26.9,15.2,65,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-34
2021-12-09,19.8,26.6,14.2,60,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-33
2021-12-10,19.6,27.1,14.2,59,0.0,Patan,Acute Diarrhoeal Disease,23.77405735,71.68373466,2022-01-11,-32
