date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-04,15.9,23.5,9.8,81,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-45
2020-12-05,17.3,24.3,12.7,76,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-44
2020-12-06,17.5,24.6,12.3,78,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-43
2020-12-07,17.4,24.7,12.8,78,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-42
2020-12-08,16.3,24.0,11.0,77,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-41
2020-12-09,16.3,23.6,9.8,75,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-40
2020-12-10,17.2,24.4,12.2,73,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-39
2020-12-11,16.9,24.1,10.8,77,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-38
2020-12-12,16.5,21.2,12.7,82,11.2,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-37
2020-12-13,13.0,19.4,9.0,77,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-36
2020-12-14,11.2,17.8,7.2,81,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-35
2020-12-15,10.0,17.1,4.8,78,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-34
2020-12-16,10.2,17.2,6.5,79,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-33
2020-12-17,9.3,16.2,4.8,76,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-32
2020-12-18,9.4,16.5,4.5,70,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-31
2020-12-19,10.5,18.0,4.8,69,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-30
2020-12-20,12.5,19.5,6.5,67,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-29
2020-12-21,12.5,19.7,6.9,74,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-28
2020-12-22,11.9,19.9,5.5,81,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-27
2020-12-23,11.4,19.3,6.6,82,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-26
2020-12-24,11.3,19.4,5.2,82,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-25
2020-12-25,11.1,19.4,4.7,81,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-24
2020-12-26,10.5,18.4,4.8,85,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-23
2020-12-27,10.7,18.1,4.2,82,1.6,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-22
2020-12-28,9.5,16.3,3.8,68,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-21
2020-12-29,8.4,15.0,3.3,78,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-20
2020-12-30,8.5,15.6,4.3,85,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2021-01-18,-19
