date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-25,16.8,24.0,10.9,69,1.2,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-45
2022-02-26,14.9,19.0,11.2,76,18.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-44
2022-02-27,14.9,22.0,9.1,71,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-43
2022-02-28,15.3,22.2,10.3,65,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-42
2022-03-01,16.3,24.1,10.2,69,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-41
2022-03-02,17.6,25.5,10.9,68,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-40
2022-03-03,17.6,22.7,14.2,76,4.7,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-39
2022-03-04,17.7,24.6,12.5,73,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-38
2022-03-05,18.5,26.1,12.6,65,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-37
2022-03-06,19.1,26.4,13.3,67,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-36
2022-03-07,19.9,28.2,14.2,65,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-35
2022-03-08,20.6,29.6,13.1,61,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-34
2022-03-09,21.6,29.8,14.7,54,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-33
2022-03-10,21.4,29.0,15.6,56,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-32
2022-03-11,21.6,29.9,14.8,58,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-31
2022-03-12,22.4,31.2,14.9,54,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-30
2022-03-13,23.8,32.2,16.6,60,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-29
2022-03-14,24.4,33.6,16.1,65,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-28
2022-03-15,25.8,34.4,18.3,64,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-27
2022-03-16,26.9,35.5,19.6,57,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-26
2022-03-17,26.2,34.4,17.8,64,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-25
2022-03-18,27.6,34.6,21.9,65,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-24
2022-03-19,27.2,35.6,20.1,61,0.0,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-23
2022-03-20,26.4,34.9,19.2,56,0.2,Patiala,Acute Diarrhoeal Disease,30.2090874,76.33987209,2022-04-11,-22
