date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-20,24.2,28.2,21.2,80,0.6,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-45
2021-01-21,25.1,28.4,22.2,86,1.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-44
2021-01-22,25.2,28.2,22.9,87,0.7,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-43
2021-01-23,24.7,29.0,22.1,81,0.3,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-42
2021-01-24,23.9,28.0,21.0,80,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-41
2021-01-25,23.8,28.4,20.0,79,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-40
2021-01-26,23.5,28.2,20.3,77,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-39
2021-01-27,23.2,28.1,19.2,74,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-38
2021-01-28,23.6,27.7,20.0,77,0.2,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-37
2021-01-29,23.7,27.1,21.3,84,4.9,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-36
2021-01-30,24.5,28.6,21.6,78,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-35
2021-01-31,24.5,29.5,21.2,77,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-34
2021-02-01,24.4,29.5,20.9,77,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-33
2021-02-02,24.6,29.6,20.8,74,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-32
2021-02-03,24.3,28.4,21.5,77,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-31
2021-02-04,24.2,28.9,20.7,70,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-30
2021-02-05,23.9,28.7,20.1,70,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-29
2021-02-06,24.0,29.4,19.8,67,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-28
2021-02-07,23.9,29.9,19.6,66,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-27
2021-02-08,24.0,29.9,19.9,66,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-26
2021-02-09,23.9,28.9,20.1,69,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-25
2021-02-10,22.9,28.5,18.3,66,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-24
2021-02-11,23.3,29.0,18.4,67,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-23
2021-02-12,23.2,29.2,17.9,64,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-22
2021-02-13,24.0,30.1,19.2,65,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-21
2021-02-14,24.7,30.8,19.8,70,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-20
2021-02-15,25.6,32.4,20.4,67,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-19
2021-02-16,25.9,32.0,21.6,66,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-18
2021-02-17,25.2,31.4,20.8,67,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-17
2021-02-18,25.0,30.1,21.4,71,0.1,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-16
2021-02-19,25.6,32.1,20.9,68,0.1,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-15
2021-02-20,24.2,27.6,21.2,81,2.4,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-14
2021-02-21,24.0,28.9,21.5,83,1.6,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-13
2021-02-22,25.5,30.6,21.6,75,0.7,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-12
2021-02-23,26.5,32.3,22.6,70,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-11
2021-02-24,26.3,32.4,21.7,67,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-10
2021-02-25,25.9,32.8,20.1,65,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-9
2021-02-26,27.1,34.8,19.8,56,0.0,Perambalur,Acute Diarrhoeal Disease,11.2287716,78.81825555,2021-03-06,-8
