date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-31,31.9,40.5,26.3,63,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-45
2022-04-01,31.0,39.2,25.7,66,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-44
2022-04-02,30.6,38.6,25.7,68,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-43
2022-04-03,30.7,38.8,25.4,63,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-42
2022-04-04,30.4,38.6,25.6,64,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-41
2022-04-05,30.1,38.3,25.2,64,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-40
2022-04-06,30.0,38.9,24.4,64,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-39
2022-04-07,30.1,38.8,25.1,65,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-38
2022-04-08,29.8,38.4,24.4,67,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-37
2022-04-09,30.2,38.0,25.1,67,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-36
2022-04-10,29.8,37.2,25.2,68,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-35
2022-04-11,30.5,39.0,25.6,65,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-34
2022-04-12,30.6,38.7,25.6,63,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-33
2022-04-13,30.8,38.5,26.1,65,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-32
2022-04-14,30.7,38.0,25.4,67,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-31
2022-04-15,31.0,37.7,25.3,67,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-30
2022-04-16,31.5,37.7,26.4,67,0.2,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-29
2022-04-17,31.0,37.1,26.9,67,0.5,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-28
2022-04-18,32.0,39.6,26.4,61,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-27
2022-04-19,32.3,40.5,25.9,61,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-26
2022-04-20,31.8,40.4,26.1,65,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-25
2022-04-21,31.1,40.5,26.1,66,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-24
2022-04-22,30.5,39.1,25.3,65,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-23
2022-04-23,31.4,39.2,25.5,61,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-22
2022-04-24,32.8,41.4,25.5,53,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-21
2022-04-25,32.8,41.2,26.3,52,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-20
2022-04-26,32.3,40.9,26.2,60,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-19
2022-04-27,32.1,41.3,25.6,60,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-18
2022-04-28,32.0,41.4,25.5,62,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-17
2022-04-29,32.5,42.1,25.6,60,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-16
2022-04-30,33.8,42.7,26.7,53,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-15
2022-05-01,33.8,42.0,27.1,55,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-14
2022-05-02,34.0,42.3,27.8,55,0.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-13
2022-05-03,32.7,40.8,28.0,60,0.6,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-12
2022-05-04,31.2,36.4,27.8,69,4.8,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-11
2022-05-05,31.6,35.9,27.2,63,5.0,Prakasam,Acute Diarrhoeal Disease,15.6589741,79.47164373,2022-05-15,-10
