date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-08,25.5,27.0,24.0,89,5.0,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-45
2021-01-09,25.5,27.6,23.6,87,1.7,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-44
2021-01-10,25.4,27.8,24.0,87,3.7,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-43
2021-01-11,25.2,27.1,23.4,88,7.9,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-42
2021-01-12,24.8,26.5,24.0,90,11.4,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-41
2021-01-13,25.1,26.6,23.9,88,5.3,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-40
2021-01-14,25.2,27.6,23.1,86,2.4,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-39
2021-01-15,25.2,27.2,23.1,85,3.5,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-38
2021-01-16,25.2,27.2,22.9,81,0.7,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-37
2021-01-17,24.2,26.9,21.3,79,0.0,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-36
2021-01-18,24.7,27.4,22.2,73,0.0,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-35
2021-01-19,24.9,27.8,22.2,77,0.4,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-34
2021-01-20,25.3,27.9,23.1,81,1.2,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-33
2021-01-21,25.6,27.4,23.7,89,1.1,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-32
2021-01-22,25.6,27.4,23.6,86,0.3,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-31
2021-01-23,25.4,27.4,23.2,81,0.8,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-30
2021-01-24,24.5,27.3,20.9,82,0.9,Puducherry,Acute Diarrhoeal Disease,11.9340568,79.8306447,2021-02-22,-29
