date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-13,25.1,28.8,22.3,75,2.5,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-45
2022-02-14,24.7,30.3,21.1,78,2.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-44
2022-02-15,25.1,30.8,20.5,71,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-43
2022-02-16,24.8,30.9,20.1,70,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-42
2022-02-17,24.8,30.9,19.9,72,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-41
2022-02-18,25.4,30.5,20.6,71,1.2,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-40
2022-02-19,25.7,30.9,21.2,74,1.8,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-39
2022-02-20,26.4,32.6,21.1,71,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-38
2022-02-21,27.0,34.1,21.7,72,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-37
2022-02-22,26.5,32.7,21.6,72,0.1,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-36
2022-02-23,26.5,33.2,21.7,70,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-35
2022-02-24,26.3,31.1,22.5,69,1.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-34
2022-02-25,25.9,31.9,21.3,67,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-33
2022-02-26,25.7,31.7,20.2,72,0.2,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-32
2022-02-27,26.8,32.7,22.4,69,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-31
2022-02-28,26.4,32.6,21.2,68,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-30
2022-03-01,26.6,33.9,21.3,63,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-29
2022-03-02,26.1,33.7,20.5,62,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-28
2022-03-03,26.5,32.3,22.0,66,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-27
2022-03-04,26.9,32.7,22.8,65,1.1,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-26
2022-03-05,27.5,33.9,22.8,61,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-25
2022-03-06,26.7,31.4,22.7,66,0.8,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-24
2022-03-07,25.2,30.5,21.8,75,1.8,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-23
2022-03-08,26.7,32.7,22.1,71,0.1,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-22
2022-03-09,26.4,33.4,20.6,72,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-21
2022-03-10,26.1,33.4,19.6,72,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-20
2022-03-11,26.3,33.7,19.5,71,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-19
2022-03-12,26.5,34.0,20.8,68,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-18
2022-03-13,26.3,33.8,19.8,66,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-17
2022-03-14,27.1,34.6,21.2,62,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-16
2022-03-15,27.1,35.6,20.7,66,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-15
2022-03-16,27.9,36.6,21.1,63,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-14
2022-03-17,29.0,37.3,22.0,58,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-13
2022-03-18,28.6,36.4,21.8,62,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-12
2022-03-19,29.1,36.1,23.2,67,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-11
2022-03-20,30.1,37.5,24.1,60,0.2,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-10
2022-03-21,30.0,36.7,24.1,63,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-9
2022-03-22,30.1,36.6,24.7,60,0.3,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-8
2022-03-23,29.6,35.8,24.7,70,0.9,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-7
2022-03-24,28.7,34.4,24.2,74,0.3,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-6
2022-03-25,28.8,33.6,24.6,71,1.6,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-5
2022-03-26,29.0,34.2,24.9,69,0.6,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-4
2022-03-27,29.3,35.1,24.5,70,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-3
2022-03-28,29.4,35.5,24.6,69,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-2
2022-03-29,30.1,36.9,24.2,67,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,-1
2022-03-30,30.5,38.0,25.4,64,0.0,Pudukkottai,Dengue,10.5,78.833333,2022-03-30,0
