date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-08,24.8,28.0,23.0,90,8.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-45
2021-01-09,25.1,28.4,22.8,88,3.7,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-44
2021-01-10,24.5,27.3,23.1,90,5.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-43
2021-01-11,23.8,24.7,23.1,94,31.1,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-42
2021-01-12,23.2,24.3,22.4,95,47.4,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-41
2021-01-13,24.1,27.1,22.4,91,22.1,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-40
2021-01-14,24.2,28.5,22.2,89,5.5,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-39
2021-01-15,24.6,27.9,22.6,87,4.5,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-38
2021-01-16,24.3,28.6,22.2,90,4.1,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-37
2021-01-17,24.4,29.2,20.8,80,0.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-36
2021-01-18,23.4,28.0,19.3,77,0.1,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-35
2021-01-19,23.6,27.9,19.2,77,0.3,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-34
2021-01-20,24.7,27.7,21.5,80,0.3,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-33
2021-01-21,25.6,28.7,22.9,87,0.5,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-32
2021-01-22,25.4,28.9,22.3,87,0.7,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-31
2021-01-23,25.2,29.8,22.1,80,0.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-30
2021-01-24,24.2,28.9,20.0,78,0.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-29
2021-01-25,23.7,28.4,19.1,81,0.3,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-28
2021-01-26,23.8,28.9,19.7,76,0.0,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-27
2021-01-27,23.5,28.4,18.9,73,0.1,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-26
2021-01-28,23.9,28.8,19.4,75,0.5,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-25
2021-01-29,24.3,28.7,20.4,80,3.4,Pudukottai,Acute Diarrhoeal Disease,10.3826515,78.8191259,2021-02-22,-24
