date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-09,26.4,33.6,20.9,44,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-45
2022-03-10,26.1,33.1,19.6,47,0.1,Pune,Dengue,18.521428,73.8544541,2022-04-23,-44
2022-03-11,26.1,33.7,19.8,48,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-43
2022-03-12,26.4,33.5,19.4,44,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-42
2022-03-13,27.5,35.3,20.3,33,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-41
2022-03-14,28.3,35.5,21.2,23,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-40
2022-03-15,29.0,36.9,21.7,23,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-39
2022-03-16,29.3,37.7,19.9,24,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-38
2022-03-17,29.8,38.2,22.6,23,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-37
2022-03-18,29.8,38.7,21.9,26,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-36
2022-03-19,29.0,38.3,22.0,39,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-35
2022-03-20,28.1,36.9,22.6,42,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-34
2022-03-21,28.6,37.4,21.6,43,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-33
2022-03-22,29.7,37.9,22.0,33,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-32
2022-03-23,30.2,37.1,24.1,27,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-31
2022-03-24,30.0,37.7,24.4,35,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-30
2022-03-25,29.0,36.4,22.8,57,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-29
2022-03-26,29.3,37.7,23.5,54,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-28
2022-03-27,30.0,39.3,21.5,40,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-27
2022-03-28,30.4,39.1,22.5,42,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-26
2022-03-29,30.9,39.8,22.8,34,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-25
2022-03-30,30.9,39.2,21.8,24,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-24
2022-03-31,30.0,38.4,22.9,20,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-23
2022-04-01,29.5,38.9,20.3,22,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-22
2022-04-02,29.6,38.9,21.8,31,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-21
2022-04-03,30.0,40.2,21.4,38,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-20
2022-04-04,30.2,42.3,22.0,46,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-19
2022-04-05,30.4,40.3,23.1,47,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-18
2022-04-06,30.3,40.6,23.2,46,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-17
2022-04-07,30.5,39.5,23.1,47,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-16
2022-04-08,30.6,40.6,23.4,42,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-15
2022-04-09,30.2,39.8,23.7,46,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-14
2022-04-10,29.8,39.5,23.4,49,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-13
2022-04-11,30.5,39.5,22.7,39,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-12
2022-04-12,31.5,40.0,24.3,33,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-11
2022-04-13,32.1,39.6,24.7,27,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-10
2022-04-14,31.0,39.5,25.4,37,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-9
2022-04-15,29.5,38.2,22.4,47,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-8
2022-04-16,29.3,39.2,21.4,35,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-7
2022-04-17,29.4,38.9,20.9,43,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-6
2022-04-18,29.3,39.9,21.9,47,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-5
2022-04-19,29.7,39.1,22.3,52,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-4
2022-04-20,30.7,39.4,22.8,45,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-3
2022-04-21,31.8,39.6,25.2,31,0.0,Pune,Dengue,18.521428,73.8544541,2022-04-23,-2
2022-04-22,32.0,38.8,24.8,28,0.2,Pune,Dengue,18.521428,73.8544541,2022-04-23,-1
2022-04-23,31.0,36.9,25.5,42,0.1,Pune,Dengue,18.521428,73.8544541,2022-04-23,0
