date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-23,21.1,26.2,15.0,67,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-45
2020-12-24,21.3,26.7,15.1,70,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-44
2020-12-25,21.5,27.7,16.0,71,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-43
2020-12-26,21.4,27.3,16.3,70,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-42
2020-12-27,20.7,26.5,14.9,70,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-41
2020-12-28,21.2,26.2,15.4,74,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-40
2020-12-29,21.7,27.1,16.5,76,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-39
2020-12-30,22.0,27.5,17.2,71,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-38
2020-12-31,21.8,27.7,16.3,66,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-37
2021-01-01,21.6,27.4,16.4,70,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-36
2021-01-02,21.2,26.9,16.2,72,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-35
2021-01-03,21.5,28.0,15.9,73,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-34
2021-01-04,21.2,27.4,15.8,74,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-33
2021-01-05,21.4,28.0,15.8,78,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-32
2021-01-06,22.5,28.4,17.2,74,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-31
2021-01-07,22.9,28.2,18.5,86,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-30
2021-01-08,23.7,29.0,18.9,80,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-29
2021-01-09,23.9,28.9,18.6,77,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-28
2021-01-10,24.0,28.0,20.5,86,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-27
2021-01-11,25.0,28.9,21.6,82,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-26
2021-01-12,24.5,28.1,22.0,86,0.8,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-25
2021-01-13,24.4,27.5,21.6,86,0.6,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-24
2021-01-14,23.7,27.7,20.7,84,2.3,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-23
2021-01-15,23.0,27.5,19.8,79,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-22
2021-01-16,22.4,28.2,17.1,71,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-21
2021-01-17,22.8,27.2,19.2,80,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-20
2021-01-18,22.1,26.0,18.4,78,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-19
2021-01-19,23.4,27.2,19.4,77,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-18
2021-01-20,25.2,28.2,22.8,77,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-17
2021-01-21,24.6,28.8,21.5,73,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-16
2021-01-22,22.8,27.6,17.8,76,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-15
2021-01-23,23.3,27.2,18.3,81,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-14
2021-01-24,24.9,27.7,23.0,81,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-13
2021-01-25,25.3,28.1,23.3,79,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-12
2021-01-26,24.4,27.2,22.3,82,1.7,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-11
2021-01-27,23.2,26.0,20.3,84,0.5,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-10
2021-01-28,22.6,26.5,19.2,77,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-9
2021-01-29,22.5,26.8,17.9,74,0.0,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-8
2021-01-30,23.0,26.3,18.9,80,0.7,Puri,Acute Diarrhoeal Disease,19.8076083,85.8252538,2021-02-06,-7
