date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-25,16.6,24.6,11.0,66,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-45
2020-12-26,16.1,23.0,9.9,61,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-44
2020-12-27,15.4,23.7,9.3,60,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-43
2020-12-28,15.7,23.9,8.6,62,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-42
2020-12-29,17.3,24.6,10.5,60,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-41
2020-12-30,17.2,24.3,11.6,67,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-40
2020-12-31,17.5,24.7,12.0,70,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-39
2021-01-01,16.9,24.6,11.3,67,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-38
2021-01-02,16.9,24.5,10.3,67,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-37
2021-01-03,17.3,25.7,10.4,65,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-36
2021-01-04,18.5,25.7,11.3,63,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-35
2021-01-05,19.6,28.0,11.7,66,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-34
2021-01-06,20.7,28.4,14.1,62,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-33
2021-01-07,22.0,29.3,16.7,57,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-32
2021-01-08,20.8,25.4,16.8,64,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-31
2021-01-09,21.7,28.5,15.5,67,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-30
2021-01-10,22.4,29.3,17.4,69,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-29
2021-01-11,21.5,27.8,16.6,71,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-28
2021-01-12,19.5,26.3,14.5,69,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-27
2021-01-13,16.6,22.6,12.2,61,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-26
2021-01-14,15.9,22.3,9.5,57,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-25
2021-01-15,15.6,22.7,9.1,63,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-24
2021-01-16,15.1,22.2,9.5,68,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-23
2021-01-17,15.2,22.7,9.0,71,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-22
2021-01-18,16.2,23.9,9.4,71,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-21
2021-01-19,18.2,26.3,11.1,68,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-20
2021-01-20,20.1,26.7,14.1,58,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-19
2021-01-21,17.6,25.3,11.3,58,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-18
2021-01-22,16.5,24.1,10.0,57,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-17
2021-01-23,16.2,24.5,9.0,61,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-16
2021-01-24,17.9,26.4,9.8,66,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-15
2021-01-25,18.5,25.6,12.9,65,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-14
2021-01-26,17.2,23.8,11.6,64,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-13
2021-01-27,16.7,23.4,11.1,71,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-12
2021-01-28,15.9,23.5,9.6,66,0.0,Purulia,Acute Diarrhoeal Disease,23.3291882,86.3672378,2021-02-08,-11
