date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-30,16.0,22.6,10.8,60,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-45
2021-01-31,14.5,22.3,8.3,60,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-44
2021-02-01,15.5,23.4,8.9,53,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-43
2021-02-02,16.3,24.5,8.5,53,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-42
2021-02-03,17.3,25.4,10.3,50,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-41
2021-02-04,18.8,26.1,10.6,48,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-40
2021-02-05,20.8,27.5,14.8,37,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-39
2021-02-06,18.6,25.6,13.2,56,0.2,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-38
2021-02-07,18.4,24.7,13.2,54,0.1,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-37
2021-02-08,18.2,25.9,12.3,51,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-36
2021-02-09,18.9,26.8,11.4,53,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-35
2021-02-10,19.6,27.0,13.4,55,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-34
2021-02-11,20.1,28.4,13.6,50,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-33
2021-02-12,20.8,28.5,13.7,47,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-32
2021-02-13,20.9,28.5,14.7,46,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-31
2021-02-14,21.5,28.9,15.2,45,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-30
2021-02-15,21.2,29.4,14.6,44,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-29
2021-02-16,22.3,29.7,14.6,45,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-28
2021-02-17,22.7,28.4,18.4,55,0.1,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-27
2021-02-18,21.7,27.9,15.5,58,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-26
2021-02-19,20.6,25.2,17.4,63,0.5,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-25
2021-02-20,21.2,27.1,16.9,63,0.2,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-24
2021-02-21,21.9,28.7,15.9,48,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-23
2021-02-22,22.4,29.5,15.7,44,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-22
2021-02-23,22.6,29.8,15.5,47,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-21
2021-02-24,23.5,31.1,16.1,47,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-20
2021-02-25,24.5,32.8,16.0,37,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-19
2021-02-26,25.3,33.5,17.5,34,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-18
2021-02-27,25.9,33.7,19.0,32,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-17
2021-02-28,26.7,34.3,19.7,33,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-16
2021-03-01,26.5,34.0,19.9,35,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-15
2021-03-02,25.7,32.5,19.1,35,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-14
2021-03-03,23.7,30.8,15.9,32,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-13
2021-03-04,24.0,32.5,16.4,35,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-12
2021-03-05,25.9,34.3,18.3,30,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-11
2021-03-06,25.6,32.9,18.3,28,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-10
2021-03-07,25.5,33.0,16.8,32,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-9
2021-03-08,25.7,34.4,17.8,47,0.0,Puruliya,Acute Diarrhoeal Disease,23.19989585,86.3209473,2021-03-16,-8
