date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-22,21.2,28.2,14.1,56,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-45
2020-12-23,21.9,28.7,15.5,57,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-44
2020-12-24,22.5,29.0,16.7,59,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-43
2020-12-25,22.8,28.9,17.6,61,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-42
2020-12-26,22.5,28.6,16.9,65,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-41
2020-12-27,22.8,29.8,16.8,64,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-40
2020-12-28,22.9,30.3,16.8,60,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-39
2020-12-29,22.8,29.7,16.8,59,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-38
2020-12-30,23.7,30.0,17.5,64,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-37
2020-12-31,24.6,31.2,19.8,65,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-36
2021-01-01,23.6,28.8,19.8,66,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-35
2021-01-02,22.6,28.5,16.2,62,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-34
2021-01-03,23.6,29.5,18.5,60,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-33
2021-01-04,24.1,29.8,19.5,60,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-32
2021-01-05,24.0,29.9,18.8,65,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-31
2021-01-06,23.2,26.1,21.1,86,3.5,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-30
2021-01-07,22.6,25.4,21.1,80,7.8,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-29
2021-01-08,24.5,29.8,19.1,65,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-28
2021-01-09,24.6,29.1,21.0,70,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-27
2021-01-10,24.4,30.1,18.9,69,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-26
2021-01-11,24.8,31.1,19.9,63,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-25
2021-01-12,24.5,31.1,19.1,59,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-24
2021-01-13,24.1,31.0,17.9,58,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-23
2021-01-14,24.0,30.7,18.1,63,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-22
2021-01-15,23.9,30.3,17.8,60,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-21
2021-01-16,24.9,30.9,19.4,63,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-20
2021-01-17,25.1,30.8,20.1,59,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-19
2021-01-18,24.4,30.4,19.3,59,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-18
2021-01-19,23.6,30.0,18.7,63,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-17
2021-01-20,23.7,31.3,17.6,56,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-16
2021-01-21,24.4,31.7,17.7,52,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-15
2021-01-22,25.3,32.0,19.4,53,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-14
2021-01-23,24.8,31.7,18.6,53,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-13
2021-01-24,24.4,31.3,18.1,56,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-12
2021-01-25,24.6,31.9,17.9,51,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-11
2021-01-26,24.4,32.1,17.4,50,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-10
2021-01-27,24.6,31.4,17.8,50,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-9
2021-01-28,25.0,31.4,19.5,53,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-8
2021-01-29,24.7,31.1,19.3,53,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-7
2021-01-30,24.9,31.6,18.4,49,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-6
2021-01-31,25.1,31.5,18.9,48,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-5
2021-02-01,25.1,30.9,19.1,47,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-4
2021-02-02,24.6,29.9,19.7,51,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-3
2021-02-03,24.2,30.5,18.7,48,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-2
2021-02-04,24.0,30.6,18.1,44,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,-1
2021-02-05,24.3,30.6,18.1,45,0.0,Raichur,Acute Diarrhoeal Disease,16.083333,77.166667,2021-02-05,0
