date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-04,20.3,26.5,16.2,70,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-45
2022-02-05,20.2,29.0,13.7,63,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-44
2022-02-06,20.7,29.9,14.5,66,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-43
2022-02-07,20.3,26.8,16.1,76,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-42
2022-02-08,19.9,25.6,16.0,76,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-41
2022-02-09,19.7,26.7,14.7,78,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-40
2022-02-10,21.5,31.0,14.2,63,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-39
2022-02-11,23.9,32.3,17.2,46,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-38
2022-02-12,23.5,31.6,17.2,45,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-37
2022-02-13,23.4,31.7,17.2,48,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-36
2022-02-14,22.8,30.1,16.9,42,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-35
2022-02-15,21.8,28.8,16.9,46,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-34
2022-02-16,20.9,27.9,16.3,65,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-33
2022-02-17,20.8,28.9,14.9,70,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-32
2022-02-18,21.3,29.2,14.0,65,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-31
2022-02-19,23.1,32.1,16.3,58,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-30
2022-02-20,23.3,32.6,16.3,54,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-29
2022-02-21,23.0,32.5,15.2,47,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-28
2022-02-22,23.6,34.5,16.1,47,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-27
2022-02-23,23.8,34.4,16.2,61,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-26
2022-02-24,24.5,32.5,17.9,51,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-25
2022-02-25,24.4,33.0,18.3,48,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-24
2022-02-26,24.4,32.9,17.6,44,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-23
2022-02-27,24.7,33.9,18.0,40,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-22
2022-02-28,25.2,34.6,16.7,37,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-21
2022-03-01,25.4,35.2,18.1,35,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-20
2022-03-02,25.7,36.2,18.4,44,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-19
2022-03-03,26.3,36.7,19.0,43,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-18
2022-03-04,26.7,35.5,19.7,32,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-17
2022-03-05,26.1,35.7,19.5,39,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-16
2022-03-06,26.3,36.0,19.8,45,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-15
2022-03-07,26.7,34.9,21.2,46,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-14
2022-03-08,27.7,36.1,22.2,44,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-13
2022-03-09,27.9,35.8,21.2,49,0.1,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-12
2022-03-10,27.5,35.8,21.1,48,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-11
2022-03-11,27.7,35.3,21.9,47,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-10
2022-03-12,27.5,36.4,20.3,44,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-9
2022-03-13,28.6,37.1,20.1,37,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-8
2022-03-14,29.2,37.9,21.4,24,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-7
2022-03-15,28.7,38.0,20.2,33,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-6
2022-03-16,29.1,38.3,21.1,34,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-5
2022-03-17,28.8,39.3,21.8,40,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-4
2022-03-18,27.1,34.9,20.1,55,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-3
2022-03-19,26.3,33.8,21.4,72,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-2
2022-03-20,25.7,31.9,21.0,75,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,-1
2022-03-21,25.2,32.9,20.4,74,0.0,Raigad,Dengue,18.4928092,73.13807095,2022-03-21,0
