date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-05,28.3,37.2,20.6,33,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-45
2022-04-06,29.2,37.1,20.7,17,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-44
2022-04-07,29.3,37.2,21.1,22,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-43
2022-04-08,29.4,37.5,21.7,22,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-42
2022-04-09,29.7,38.0,20.9,24,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-41
2022-04-10,30.0,39.1,22.1,22,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-40
2022-04-11,30.7,38.5,22.9,24,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-39
2022-04-12,30.7,38.9,22.2,35,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-38
2022-04-13,31.1,39.8,21.7,34,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-37
2022-04-14,31.3,37.8,24.9,29,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-36
2022-04-15,31.5,38.0,24.6,21,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-35
2022-04-16,30.9,38.5,23.8,19,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-34
2022-04-17,31.3,38.0,24.8,19,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-33
2022-04-18,30.3,39.0,21.8,18,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-32
2022-04-19,31.7,39.4,22.4,20,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-31
2022-04-20,30.8,39.2,23.4,37,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-30
2022-04-21,28.4,34.7,22.2,63,2.5,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-29
2022-04-22,29.0,35.6,23.0,47,0.7,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-28
2022-04-23,30.7,37.0,24.0,25,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-27
2022-04-24,30.9,37.8,23.6,21,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-26
2022-04-25,31.4,38.4,23.7,17,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-25
2022-04-26,31.4,39.1,23.8,17,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-24
2022-04-27,32.1,38.5,23.9,19,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-23
2022-04-28,32.4,39.9,23.5,22,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-22
2022-04-29,32.2,39.7,25.1,31,0.1,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-21
2022-04-30,30.6,39.1,23.4,38,0.1,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-20
2022-05-01,27.9,35.7,22.7,63,4.1,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-19
2022-05-02,27.8,33.9,23.7,57,3.6,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-18
2022-05-03,27.1,34.8,22.0,63,4.1,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-17
2022-05-04,27.3,36.8,20.6,64,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-16
2022-05-05,27.0,33.9,21.6,65,0.8,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-15
2022-05-06,27.8,35.1,21.0,52,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-14
2022-05-07,28.6,35.5,21.3,49,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-13
2022-05-08,28.7,36.4,21.4,49,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-12
2022-05-09,27.0,32.9,22.1,66,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-11
2022-05-10,25.9,29.6,23.2,77,2.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-10
2022-05-11,26.4,32.3,23.1,77,0.2,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-9
2022-05-12,27.9,33.6,23.8,68,0.4,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-8
2022-05-13,30.3,37.6,23.7,53,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-7
2022-05-14,31.1,38.3,24.5,48,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-6
2022-05-15,29.4,39.1,24.7,60,11.2,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-5
2022-05-16,30.6,38.3,24.5,51,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-4
2022-05-17,29.7,37.4,25.1,62,1.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-3
2022-05-18,30.5,37.8,25.3,55,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-2
2022-05-19,30.6,36.9,26.8,53,0.5,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,-1
2022-05-20,31.3,38.9,25.4,48,0.0,Ranchi,Acute Diarrhoeal Disease,23.3700501,85.3250387,2022-05-20,0
