date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-07,32.7,40.9,25.3,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-45
2022-04-08,33.5,41.4,26.2,14,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-44
2022-04-09,32.9,40.0,25.6,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-43
2022-04-10,32.2,39.1,24.6,18,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-42
2022-04-11,31.8,39.0,25.1,27,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-41
2022-04-12,31.6,38.0,25.3,19,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-40
2022-04-13,31.5,38.1,25.5,14,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-39
2022-04-14,31.3,37.9,24.0,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-38
2022-04-15,30.9,38.2,24.1,19,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-37
2022-04-16,31.0,38.4,24.0,24,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-36
2022-04-17,31.5,38.4,24.6,21,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-35
2022-04-18,31.7,38.8,24.5,23,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-34
2022-04-19,32.4,39.1,25.3,20,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-33
2022-04-20,32.7,39.2,26.1,18,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-32
2022-04-21,29.3,34.0,26.3,32,1.8,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-31
2022-04-22,31.0,37.9,23.6,23,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-30
2022-04-23,31.9,38.2,24.8,17,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-29
2022-04-24,32.5,38.5,27.0,15,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-28
2022-04-25,32.2,38.7,25.6,17,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-27
2022-04-26,32.2,38.9,26.0,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-26
2022-04-27,33.3,40.3,26.5,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-25
2022-04-28,34.5,41.6,28.2,14,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-24
2022-04-29,33.4,39.6,27.6,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-23
2022-04-30,32.7,38.9,25.9,25,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-22
2022-05-01,32.8,39.6,25.7,34,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-21
2022-05-02,32.0,38.4,25.5,37,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-20
2022-05-03,31.5,38.0,25.3,33,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-19
2022-05-04,31.5,37.9,24.9,30,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-18
2022-05-05,31.7,38.3,25.1,26,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-17
2022-05-06,32.7,38.7,26.6,25,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-16
2022-05-07,32.7,38.5,27.1,22,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-15
2022-05-08,34.6,41.4,27.9,19,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-14
2022-05-09,35.2,42.1,29.2,18,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-13
2022-05-10,35.9,42.6,29.7,14,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-12
2022-05-11,35.3,42.8,26.6,15,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-11
2022-05-12,35.6,42.7,27.7,16,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-10
2022-05-13,34.0,40.2,26.9,32,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-9
2022-05-14,32.3,39.8,24.9,42,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-8
2022-05-15,32.7,39.7,25.5,38,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-7
2022-05-16,32.3,38.4,25.9,33,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-6
2022-05-17,32.1,38.2,26.2,33,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-5
2022-05-18,31.9,37.9,25.0,32,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-4
2022-05-19,33.9,40.6,26.4,25,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-3
2022-05-20,34.4,40.2,28.7,26,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-2
2022-05-21,30.7,37.4,24.5,49,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,-1
2022-05-22,29.6,35.8,24.2,55,0.0,Ratlam,Acute Diarrhoeal Disease,23.4805919,74.91931943,2022-05-22,0
