date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-28,34.9,42.3,25.7,15,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-45
2022-04-29,36.1,43.7,26.9,14,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-44
2022-04-30,35.8,42.7,28.5,17,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-43
2022-05-01,32.1,37.7,26.1,40,0.4,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-42
2022-05-02,32.9,38.8,26.1,37,0.5,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-41
2022-05-03,32.7,39.1,25.5,38,0.1,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-40
2022-05-04,32.5,39.8,26.6,42,0.3,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-39
2022-05-05,32.6,39.6,25.8,38,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-38
2022-05-06,32.6,38.4,26.2,34,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-37
2022-05-07,32.5,38.2,26.0,36,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-36
2022-05-08,32.9,39.7,26.7,33,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-35
2022-05-09,32.0,37.4,25.9,45,0.2,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-34
2022-05-10,32.9,38.6,27.0,43,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-33
2022-05-11,32.9,38.9,28.2,47,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-32
2022-05-12,34.1,40.3,27.7,41,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-31
2022-05-13,36.0,44.1,27.9,30,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-30
2022-05-14,37.1,45.5,29.0,18,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-29
2022-05-15,37.4,45.4,28.7,21,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-28
2022-05-16,36.8,43.4,31.5,22,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-27
2022-05-17,35.9,43.6,28.2,19,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-26
2022-05-18,36.1,42.1,28.8,20,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-25
2022-05-19,36.4,43.4,30.3,23,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-24
2022-05-20,36.7,44.7,29.6,22,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-23
2022-05-21,34.8,40.4,28.9,29,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-22
2022-05-22,32.9,38.6,26.4,32,4.5,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-21
2022-05-23,29.7,38.2,24.9,54,4.5,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-20
2022-05-24,28.4,35.5,22.9,60,2.9,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-19
2022-05-25,29.9,36.3,22.9,47,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-18
2022-05-26,31.6,38.0,25.3,39,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-17
2022-05-27,33.2,39.5,27.2,34,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-16
2022-05-28,33.5,39.6,27.4,37,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-15
2022-05-29,34.3,40.7,29.1,37,0.2,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-14
2022-05-30,34.7,40.1,29.5,38,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-13
2022-05-31,34.7,41.0,27.5,33,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-12
2022-06-01,35.1,41.2,28.4,29,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-11
2022-06-02,35.6,42.9,27.3,24,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-10
2022-06-03,36.0,43.1,27.7,23,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-9
2022-06-04,36.6,42.5,29.9,21,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-8
2022-06-05,36.4,43.6,29.1,19,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-7
2022-06-06,36.2,43.7,29.3,21,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-6
2022-06-07,36.7,42.8,29.3,22,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-5
2022-06-08,36.7,42.6,29.7,21,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-4
2022-06-09,36.9,43.6,29.8,20,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-3
2022-06-10,37.4,43.4,30.3,23,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-2
2022-06-11,36.3,42.5,30.4,25,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,-1
2022-06-12,36.8,43.2,30.9,28,0.0,Rewa,Acute Diarrhoeal Disease,24.756718,81.65493469,2022-06-12,0
