date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-02-05,17.8,24.6,11.2,68,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-45
2021-02-06,17.3,23.2,11.1,70,0.1,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-44
2021-02-07,16.1,22.0,10.6,69,0.5,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-43
2021-02-08,16.1,23.4,8.7,68,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-42
2021-02-09,17.0,24.7,10.7,61,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-41
2021-02-10,17.5,24.4,11.1,61,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-40
2021-02-11,17.6,24.4,11.3,66,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-39
2021-02-12,18.5,25.3,12.0,68,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-38
2021-02-13,19.2,25.4,12.1,68,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-37
2021-02-14,19.1,24.2,13.5,71,0.5,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-36
2021-02-15,18.8,23.8,13.5,73,0.1,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-35
2021-02-16,18.5,24.9,12.3,65,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-34
2021-02-17,18.7,24.1,12.9,69,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-33
2021-02-18,19.9,27.1,14.4,68,1.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-32
2021-02-19,20.0,26.5,13.5,62,0.4,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-31
2021-02-20,20.7,26.5,15.6,63,0.2,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-30
2021-02-21,20.0,27.0,13.5,64,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-29
2021-02-22,20.3,27.1,14.1,64,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-28
2021-02-23,20.7,27.6,14.2,62,0.2,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-27
2021-02-24,20.3,26.9,14.1,58,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-26
2021-02-25,19.7,24.4,15.7,67,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-25
2021-02-26,20.1,25.3,16.1,72,0.3,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-24
2021-02-27,19.7,25.7,14.3,76,1.1,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-23
2021-02-28,20.0,26.0,15.6,77,0.6,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-22
2021-03-01,21.0,27.2,15.2,70,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-21
2021-03-02,21.4,26.9,15.9,58,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-20
2021-03-03,21.1,26.6,14.2,53,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-19
2021-03-04,19.5,25.3,14.0,63,0.8,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-18
2021-03-05,19.5,24.9,15.4,61,0.1,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-17
2021-03-06,19.0,24.7,13.7,75,1.2,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-16
2021-03-07,19.5,25.0,14.6,74,0.6,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-15
2021-03-08,20.7,26.9,15.0,62,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-14
2021-03-09,21.3,27.2,15.6,67,0.5,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-13
2021-03-10,21.1,27.3,16.2,74,1.4,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-12
2021-03-11,21.3,26.9,15.3,71,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-11
2021-03-12,22.5,29.7,15.8,66,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-10
2021-03-13,22.9,30.1,16.1,63,0.2,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-9
2021-03-14,22.0,27.7,17.5,66,1.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-8
2021-03-15,21.6,25.9,17.0,74,2.5,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-7
2021-03-16,22.6,29.6,15.3,61,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-6
2021-03-17,23.3,30.5,16.5,55,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-5
2021-03-18,24.0,30.8,16.9,50,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-4
2021-03-19,24.3,31.1,17.1,51,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-3
2021-03-20,24.5,31.9,17.6,53,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-2
2021-03-21,25.7,33.0,19.1,44,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,-1
2021-03-22,25.2,33.1,18.2,46,0.0,Ri Bhoi,Acute Diarrhoeal Disease,25.87640255,91.85675742,2021-03-22,0
