date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-11,20.8,27.9,14.7,64,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-45
2022-03-12,21.2,29.0,14.5,63,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-44
2022-03-13,22.3,30.2,15.9,64,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-43
2022-03-14,23.2,31.0,15.7,64,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-42
2022-03-15,24.6,32.1,17.4,63,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-41
2022-03-16,25.3,32.8,18.9,65,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-40
2022-03-17,25.3,31.7,18.7,66,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-39
2022-03-18,26.9,32.6,22.0,65,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-38
2022-03-19,26.2,33.0,20.9,66,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-37
2022-03-20,25.4,33.6,18.6,54,0.2,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-36
2022-03-21,24.8,33.2,16.6,50,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-35
2022-03-22,24.8,32.2,19.0,50,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-34
2022-03-23,25.1,33.3,18.1,46,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-33
2022-03-24,24.7,31.8,18.3,46,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-32
2022-03-25,24.0,31.6,18.0,41,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-31
2022-03-26,23.8,31.2,17.0,46,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-30
2022-03-27,25.0,33.0,17.9,45,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-29
2022-03-28,25.1,34.8,16.0,43,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-28
2022-03-29,26.7,35.0,19.7,39,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-27
2022-03-30,25.9,35.3,17.5,37,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-26
2022-03-31,26.6,35.4,18.8,37,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-25
2022-04-01,25.7,34.1,18.8,42,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-24
2022-04-02,26.3,35.2,17.0,36,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-23
2022-04-03,26.4,35.6,18.2,29,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-22
2022-04-04,26.1,35.8,17.3,28,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-21
2022-04-05,27.4,35.7,20.2,27,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-20
2022-04-06,28.0,35.8,21.0,28,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-19
2022-04-07,28.4,37.3,19.9,29,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-18
2022-04-08,29.2,38.0,20.4,29,0.0,S.A.S Nagar,Acute Diarrhoeal Disease,30.7041168,76.7176885,2022-04-25,-17
