date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-12,26.6,34.9,17.7,30,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-45
2022-03-13,27.7,36.2,18.8,29,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-44
2022-03-14,29.1,37.9,20.2,27,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-43
2022-03-15,29.2,39.1,20.2,24,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-42
2022-03-16,29.8,39.7,20.4,23,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-41
2022-03-17,30.1,39.9,21.0,21,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-40
2022-03-18,30.1,40.1,20.7,20,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-39
2022-03-19,30.0,38.5,21.5,21,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-38
2022-03-20,29.2,37.5,21.3,23,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-37
2022-03-21,29.6,38.3,20.2,18,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-36
2022-03-22,29.3,38.0,20.5,16,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-35
2022-03-23,29.1,37.7,22.2,18,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-34
2022-03-24,29.4,37.0,23.2,22,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-33
2022-03-25,29.6,38.2,19.6,24,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-32
2022-03-26,30.2,40.0,21.0,21,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-31
2022-03-27,30.8,40.0,21.9,18,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-30
2022-03-28,30.9,39.1,24.6,17,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-29
2022-03-29,30.5,39.1,21.9,20,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-28
2022-03-30,30.0,38.8,21.4,28,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-27
2022-03-31,30.9,39.7,21.5,26,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-26
2022-04-01,31.5,40.5,21.4,22,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-25
2022-04-02,31.3,40.2,21.2,23,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-24
2022-04-03,31.0,40.9,22.3,24,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-23
2022-04-04,31.0,40.8,21.2,15,0.0,Sabarkantha,Dengue,24.0294885,73.0459884,2022-04-26,-22
