date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-06,31.5,41.1,21.5,20,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-45
2022-04-07,32.1,41.2,21.6,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-44
2022-04-08,32.2,41.7,22.9,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-43
2022-04-09,32.4,42.7,22.5,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-42
2022-04-10,32.5,42.2,22.7,28,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-41
2022-04-11,33.5,42.8,25.1,35,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-40
2022-04-12,33.9,42.7,26.3,39,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-39
2022-04-13,33.1,39.2,27.4,45,0.9,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-38
2022-04-14,34.3,41.9,26.8,24,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-37
2022-04-15,33.7,41.5,24.8,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-36
2022-04-16,33.0,41.3,24.0,21,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-35
2022-04-17,33.3,42.4,23.9,18,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-34
2022-04-18,34.2,43.4,24.0,16,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-33
2022-04-19,34.4,43.4,25.8,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-32
2022-04-20,34.4,42.9,26.3,24,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-31
2022-04-21,33.4,41.3,26.5,41,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-30
2022-04-22,33.4,39.6,28.0,32,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-29
2022-04-23,33.9,41.6,25.1,21,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-28
2022-04-24,34.2,41.8,25.2,17,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-27
2022-04-25,34.3,42.5,25.6,16,0.0,Sant Ravidas Nagar,Acute Diarrhoeal Disease,25.3560294,82.50057725,2022-05-21,-26
