date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,27.7,36.9,19.3,45,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-45
2022-04-17,27.4,36.6,19.2,48,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-44
2022-04-18,27.7,36.6,19.9,50,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-43
2022-04-19,28.7,36.7,20.6,46,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-42
2022-04-20,30.0,36.9,23.4,39,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-41
2022-04-21,31.0,37.4,25.5,30,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-40
2022-04-22,30.1,36.5,24.3,31,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-39
2022-04-23,28.2,34.3,22.8,44,1.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-38
2022-04-24,27.7,34.5,21.3,46,2.4,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-37
2022-04-25,29.0,35.4,23.9,39,0.2,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-36
2022-04-26,30.3,37.6,22.4,37,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-35
2022-04-27,31.4,38.7,24.2,31,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-34
2022-04-28,30.5,38.6,24.6,34,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-33
2022-04-29,30.0,38.8,22.2,51,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-32
2022-04-30,30.1,38.5,24.4,38,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-31
2022-05-01,29.1,38.3,22.9,38,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-30
2022-05-02,27.8,37.2,20.0,52,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-29
2022-05-03,28.3,37.9,21.5,50,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-28
2022-05-04,29.5,37.4,22.7,40,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-27
2022-05-05,29.4,37.0,21.3,39,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-26
2022-05-06,29.6,37.7,21.6,39,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-25
2022-05-07,29.6,37.8,23.2,44,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-24
2022-05-08,30.7,37.6,24.5,37,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-23
2022-05-09,29.8,38.8,23.6,46,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-22
2022-05-10,28.1,36.6,23.1,55,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-21
2022-05-11,27.5,35.5,22.9,56,0.1,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-20
2022-05-12,26.6,34.3,22.8,68,0.1,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-19
2022-05-13,25.9,31.6,21.9,66,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-18
2022-05-14,27.4,36.8,20.9,62,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-17
2022-05-15,28.0,37.5,20.2,59,0.2,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-16
2022-05-16,29.2,38.1,22.3,56,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-15
2022-05-17,28.5,37.9,22.3,59,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-14
2022-05-18,27.7,34.1,21.4,57,0.1,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-13
2022-05-19,26.0,30.6,22.6,69,8.7,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-12
2022-05-20,22.4,24.5,21.1,88,8.9,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-11
2022-05-21,24.4,30.7,20.6,70,0.7,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-10
2022-05-22,24.9,31.1,20.4,73,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-9
2022-05-23,25.7,32.4,21.3,72,0.1,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-8
2022-05-24,26.1,32.9,21.3,69,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-7
2022-05-25,26.1,33.6,20.4,65,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-6
2022-05-26,25.7,33.4,19.7,65,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-5
2022-05-27,25.4,32.8,20.1,65,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-4
2022-05-28,25.0,31.9,19.5,66,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-3
2022-05-29,25.9,33.3,20.5,64,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-2
2022-05-30,26.3,34.0,20.2,63,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,-1
2022-05-31,26.9,35.6,21.1,60,0.0,Satara,Chikungunya,17.63612885,74.29827808,2022-05-31,0
