date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-20,33.4,41.5,25.1,19,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-45
2022-04-21,31.4,37.7,25.7,24,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-44
2022-04-22,31.2,39.3,23.2,28,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-43
2022-04-23,32.1,40.0,24.3,22,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-42
2022-04-24,32.3,40.6,24.0,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-41
2022-04-25,33.4,41.1,25.5,15,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-40
2022-04-26,33.2,41.5,25.3,18,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-39
2022-04-27,34.0,42.0,25.0,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-38
2022-04-28,34.8,42.7,26.1,18,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-37
2022-04-29,35.2,42.6,27.5,16,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-36
2022-04-30,34.0,41.8,26.1,17,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-35
2022-05-01,35.0,42.5,26.9,22,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-34
2022-05-02,34.9,42.7,29.0,21,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-33
2022-05-03,34.3,41.2,27.2,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-32
2022-05-04,33.5,40.0,26.3,24,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-31
2022-05-05,33.1,40.0,25.1,28,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-30
2022-05-06,33.6,40.6,25.9,26,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-29
2022-05-07,34.1,41.9,27.4,25,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-28
2022-05-08,35.0,43.2,26.3,19,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-27
2022-05-09,35.4,43.2,28.0,19,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-26
2022-05-10,35.1,42.3,28.7,27,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-25
2022-05-11,35.9,44.0,28.9,26,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-24
2022-05-12,36.1,44.5,28.6,21,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-23
2022-05-13,37.4,46.1,29.0,15,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-22
2022-05-14,37.4,44.5,30.0,16,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-21
2022-05-15,36.3,43.7,30.2,24,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-20
2022-05-16,35.6,42.1,29.3,16,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-19
2022-05-17,34.1,41.4,27.0,19,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-18
2022-05-18,34.9,41.9,28.0,19,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-17
2022-05-19,35.8,43.8,28.0,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-16
2022-05-20,37.0,44.7,29.3,18,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-15
2022-05-21,36.6,42.8,29.7,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-14
2022-05-22,35.5,41.1,30.1,31,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-13
2022-05-23,32.5,36.6,27.6,42,2.8,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-12
2022-05-24,30.4,37.8,23.6,53,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-11
2022-05-25,32.6,39.1,26.2,41,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-10
2022-05-26,32.9,40.1,25.3,36,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-9
2022-05-27,34.1,40.3,27.4,31,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-8
2022-05-28,34.6,39.9,30.1,36,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-7
2022-05-29,35.3,41.9,29.8,34,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-6
2022-05-30,35.3,41.6,29.1,32,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-5
2022-05-31,35.1,42.5,28.9,28,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-4
2022-06-01,36.2,42.2,27.7,22,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-3
2022-06-02,35.1,42.3,26.4,24,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-2
2022-06-03,36.2,42.6,29.0,23,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,-1
2022-06-04,36.8,43.1,29.8,20,0.0,Sheopur,Acute Diarrhoeal Disease,25.6656611,76.6954843,2022-06-04,0
