date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-29,28.1,35.1,22.1,70,0.0,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-45
2022-04-30,28.6,35.2,24.3,69,0.5,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-44
2022-05-01,27.9,35.3,23.7,73,0.1,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-43
2022-05-02,27.6,34.6,23.0,69,0.1,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-42
2022-05-03,28.0,35.1,22.5,70,0.0,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-41
2022-05-04,27.7,35.0,24.0,74,1.5,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-40
2022-05-05,27.1,34.5,23.3,74,6.5,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-39
2022-05-06,26.5,33.2,22.7,78,1.5,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-38
2022-05-07,27.7,34.8,23.2,72,0.0,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-37
2022-05-08,27.4,34.6,23.0,75,2.5,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-36
2022-05-09,26.5,31.7,23.7,80,4.4,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-35
2022-05-10,25.7,30.2,23.0,82,4.6,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-34
2022-05-11,23.4,24.4,22.7,92,8.6,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-33
2022-05-12,24.4,28.2,22.2,85,3.0,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-32
2022-05-13,25.3,29.3,22.7,82,1.7,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-31
2022-05-14,26.0,31.4,23.0,78,0.6,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-30
2022-05-15,25.9,30.7,22.6,78,0.9,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-29
2022-05-16,26.3,32.2,23.5,80,19.4,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-28
2022-05-17,24.5,28.1,22.9,90,11.7,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-27
2022-05-18,23.7,27.0,22.1,92,28.0,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-26
2022-05-19,21.8,24.4,19.5,93,49.8,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-25
2022-05-20,22.6,26.8,19.7,87,3.2,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-24
2022-05-21,22.8,26.8,20.4,85,0.6,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-23
2022-05-22,24.1,27.9,21.4,85,2.1,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-22
2022-05-23,25.3,30.2,22.1,83,0.6,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-21
2022-05-24,25.7,31.1,21.6,83,0.8,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-20
2022-05-25,26.3,31.3,23.3,79,0.4,Shivamogga,Acute Diarrhoeal Disease,13.9326093,75.574978,2022-06-13,-19
