date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-16,30.5,39.0,23.1,26,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-45
2022-04-17,30.3,38.8,21.5,26,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-44
2022-04-18,29.7,37.7,20.6,40,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-43
2022-04-19,29.4,35.9,24.5,59,0.6,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-42
2022-04-20,29.7,35.5,24.6,58,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-41
2022-04-21,29.7,35.5,24.5,53,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-40
2022-04-22,30.2,37.5,25.2,47,0.4,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-39
2022-04-23,30.3,38.9,20.8,34,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-38
2022-04-24,31.5,39.4,24.4,21,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-37
2022-04-25,30.7,38.8,23.2,25,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-36
2022-04-26,29.8,37.1,20.8,37,0.1,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-35
2022-04-27,30.3,38.7,20.6,38,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-34
2022-04-28,30.3,37.8,23.2,50,0.1,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-33
2022-04-29,29.9,36.4,25.8,58,1.1,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-32
2022-04-30,29.7,34.5,24.6,57,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-31
2022-05-01,28.7,33.7,23.7,57,11.3,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-30
2022-05-02,27.8,32.9,22.7,62,1.6,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-29
2022-05-03,28.4,33.7,23.5,63,14.5,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-28
2022-05-04,28.2,32.8,23.2,68,0.1,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-27
2022-05-05,27.3,31.5,22.7,68,9.9,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-26
2022-05-06,26.8,30.4,22.8,69,0.2,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-25
2022-05-07,28.6,33.4,23.8,64,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-24
2022-05-08,28.7,33.3,24.2,62,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-23
2022-05-09,30.0,34.3,24.8,59,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-22
2022-05-10,30.5,35.4,26.4,59,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-21
2022-05-11,30.6,35.7,25.6,61,0.1,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-20
2022-05-12,30.9,36.0,26.5,63,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-19
2022-05-13,30.4,35.2,26.9,70,0.9,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-18
2022-05-14,30.6,36.1,26.0,65,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-17
2022-05-15,31.8,37.7,26.2,64,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-16
2022-05-16,30.2,36.7,25.9,66,2.7,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-15
2022-05-17,30.0,37.5,25.6,67,10.8,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-14
2022-05-18,31.2,36.4,26.9,64,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-13
2022-05-19,31.3,36.0,26.7,58,3.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-12
2022-05-20,30.3,36.2,26.3,61,0.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-11
2022-05-21,30.1,36.7,25.1,59,9.0,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-10
2022-05-22,28.3,34.2,24.7,62,1.3,Siddharth Nagar,Acute Diarrhoeal Disease,27.25264095,82.86964796,2022-05-31,-9
