date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-20,26.5,31.7,23.4,82,2.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-45
2022-03-21,26.4,31.6,22.0,80,0.1,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-44
2022-03-22,26.9,31.3,23.6,83,2.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-43
2022-03-23,27.7,33.2,23.6,81,3.5,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-42
2022-03-24,27.7,33.1,24.7,81,3.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-41
2022-03-25,27.6,32.5,25.0,80,6.3,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-40
2022-03-26,27.7,32.8,23.5,78,0.2,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-39
2022-03-27,27.6,32.7,23.5,76,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-38
2022-03-28,27.8,33.7,24.4,77,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-37
2022-03-29,27.7,34.4,23.3,81,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-36
2022-03-30,27.6,33.4,24.1,80,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-35
2022-03-31,27.2,33.8,23.0,79,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-34
2022-04-01,26.4,32.4,21.4,78,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-33
2022-04-02,26.6,32.3,22.3,80,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-32
2022-04-03,26.8,32.8,21.7,73,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-31
2022-04-04,27.6,33.2,23.0,77,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-30
2022-04-05,28.3,33.5,24.7,76,0.4,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-29
2022-04-06,28.5,33.9,25.3,75,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-28
2022-04-07,28.1,34.2,23.8,76,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-27
2022-04-08,28.4,34.6,23.6,78,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-26
2022-04-09,28.8,34.8,24.6,77,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-25
2022-04-10,29.1,33.9,26.2,74,0.1,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-24
2022-04-11,29.4,35.1,25.1,71,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-23
2022-04-12,29.0,35.4,24.1,71,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-22
2022-04-13,29.2,37.0,23.9,72,0.4,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-21
2022-04-14,28.7,32.0,25.2,75,2.3,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-20
2022-04-15,29.3,34.2,26.1,71,0.4,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-19
2022-04-16,29.0,35.4,24.8,73,0.3,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-18
2022-04-17,28.4,34.5,24.0,71,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-17
2022-04-18,27.9,33.8,23.4,71,3.3,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-16
2022-04-19,28.7,34.8,24.1,68,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-15
2022-04-20,30.0,36.9,24.6,65,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-14
2022-04-21,31.1,39.4,25.5,63,0.6,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-13
2022-04-22,30.4,36.7,26.2,72,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-12
2022-04-23,30.2,36.5,26.2,72,7.3,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-11
2022-04-24,29.3,36.1,24.8,75,1.7,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-10
2022-04-25,29.7,36.7,25.1,72,0.5,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-9
2022-04-26,30.0,37.4,25.4,72,1.1,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-8
2022-04-27,30.4,37.1,24.9,68,0.0,Sindhudurg,Malaria (PV),16.1357193,73.6522086,2022-05-04,-7
