date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-26,22.2,29.1,13.9,32,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-45
2022-04-27,23.2,30.2,14.4,33,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-44
2022-04-28,25.1,31.9,17.0,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-43
2022-04-29,24.6,32.3,15.5,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-42
2022-04-30,24.7,31.8,17.4,33,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-41
2022-05-01,22.3,29.9,16.9,43,0.3,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-40
2022-05-02,22.0,27.7,16.6,54,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-39
2022-05-03,21.2,26.8,16.9,66,10.4,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-38
2022-05-04,20.2,25.9,16.3,63,4.8,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-37
2022-05-05,21.1,26.7,14.2,53,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-36
2022-05-06,21.3,27.2,14.0,49,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-35
2022-05-07,21.2,27.2,13.9,52,0.7,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-34
2022-05-08,21.9,28.2,14.6,54,0.2,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-33
2022-05-09,21.9,27.7,15.1,60,0.1,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-32
2022-05-10,21.3,27.0,15.5,67,3.7,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-31
2022-05-11,23.0,29.3,16.0,62,0.7,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-30
2022-05-12,24.1,30.5,17.7,56,0.1,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-29
2022-05-13,24.8,31.4,17.6,43,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-28
2022-05-14,25.1,31.8,15.8,36,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-27
2022-05-15,25.6,33.1,17.1,36,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-26
2022-05-16,24.5,30.3,18.2,41,0.6,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-25
2022-05-17,22.9,28.0,17.3,49,3.4,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-24
2022-05-18,23.3,29.6,16.3,45,0.2,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-23
2022-05-19,24.4,31.1,15.9,43,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-22
2022-05-20,25.1,31.5,16.8,35,1.6,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-21
2022-05-21,24.2,29.6,17.7,32,0.4,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-20
2022-05-22,22.0,27.0,15.5,45,0.3,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-19
2022-05-23,19.6,24.5,14.6,61,4.8,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-18
2022-05-24,17.2,21.1,15.0,72,14.9,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-17
2022-05-25,18.8,24.5,12.8,67,0.2,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-16
2022-05-26,20.0,24.7,14.3,67,2.4,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-15
2022-05-27,21.6,26.2,16.2,67,3.6,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-14
2022-05-28,22.5,29.6,17.3,68,13.1,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-13
2022-05-29,22.6,28.6,17.0,66,2.3,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-12
2022-05-30,23.0,29.1,16.8,59,1.8,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-11
2022-05-31,23.5,28.8,17.1,47,0.1,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-10
2022-06-01,24.5,30.9,15.9,35,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-9
2022-06-02,25.1,31.9,17.0,29,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-8
2022-06-03,25.2,31.5,17.0,29,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-7
2022-06-04,26.0,33.2,18.2,27,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-6
2022-06-05,25.9,32.3,17.7,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-5
2022-06-06,26.3,33.2,18.4,29,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-4
2022-06-07,26.9,32.9,20.0,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-3
2022-06-08,26.6,32.7,19.3,32,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-2
2022-06-09,26.8,32.6,19.6,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,-1
2022-06-10,27.1,33.0,19.1,30,0.0,Solan,Dengue,30.92589585,77.08200509,2022-06-10,0
