date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-19,24.3,28.4,20.5,77,3.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-45
2022-04-20,23.6,27.9,19.9,85,0.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-44
2022-04-21,24.4,29.7,19.5,82,0.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-43
2022-04-22,24.2,28.5,21.4,88,7.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-42
2022-04-23,23.9,27.3,22.0,90,10.9,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-41
2022-04-24,23.8,28.1,21.0,87,57.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-40
2022-04-25,24.0,27.7,20.6,84,4.2,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-39
2022-04-26,24.3,28.4,20.9,82,8.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-38
2022-04-27,23.8,28.5,20.7,84,20.3,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-37
2022-04-28,24.9,29.9,20.6,82,5.2,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-36
2022-04-29,25.3,29.3,22.0,80,3.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-35
2022-04-30,21.9,23.9,20.2,91,12.2,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-34
2022-05-01,23.9,28.4,19.5,80,0.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-33
2022-05-02,23.9,29.0,20.2,86,2.9,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-32
2022-05-03,23.9,28.6,20.8,84,22.6,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-31
2022-05-04,23.5,27.6,20.3,80,12.8,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-30
2022-05-05,24.9,29.9,19.1,77,0.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-29
2022-05-06,26.9,31.6,21.0,72,0.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-28
2022-05-07,26.8,31.7,22.1,81,1.6,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-27
2022-05-08,27.2,31.3,22.2,77,13.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-26
2022-05-09,26.9,31.7,21.9,81,17.2,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-25
2022-05-10,25.1,28.6,22.8,90,19.0,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-24
2022-05-11,24.6,28.7,22.5,91,14.8,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-23
2022-05-12,24.7,29.1,22.2,91,86.9,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-22
2022-05-13,24.3,26.0,22.6,95,83.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-21
2022-05-14,24.7,27.0,23.3,92,38.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-20
2022-05-15,24.5,26.5,23.3,94,84.4,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-19
2022-05-16,23.8,26.0,22.6,95,119.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-18
2022-05-17,23.3,25.3,22.2,94,80.9,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-17
2022-05-18,24.7,29.2,22.0,90,33.8,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-16
2022-05-19,23.8,26.8,22.1,91,33.2,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-15
2022-05-20,24.8,28.5,21.9,87,14.7,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-14
2022-05-21,23.4,26.8,21.5,92,20.9,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-13
2022-05-22,25.3,30.1,20.8,84,0.6,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-12
2022-05-23,26.1,30.5,22.2,83,5.3,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-11
2022-05-24,27.8,32.4,22.7,82,0.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-10
2022-05-25,25.7,27.3,24.2,90,4.6,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-9
2022-05-26,26.7,30.7,23.3,86,6.5,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-8
2022-05-27,25.5,30.1,22.5,88,3.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-7
2022-05-28,26.0,31.0,22.2,84,4.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-6
2022-05-29,27.2,31.6,22.5,82,1.3,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-5
2022-05-30,27.8,31.7,24.1,83,0.4,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-4
2022-05-31,27.8,31.6,24.3,87,3.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-3
2022-06-01,26.9,30.6,24.0,89,17.4,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-2
2022-06-02,26.8,30.9,24.0,88,30.4,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,-1
2022-06-03,26.2,29.8,23.9,91,46.1,Sonitpur,Dengue,26.76777075,92.70140886,2022-06-03,0
