date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-09,20.0,27.1,14.7,78,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-45
2022-01-10,21.4,27.5,15.6,75,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-44
2022-01-11,21.3,27.4,16.8,78,8.2,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-43
2022-01-12,19.4,23.2,16.7,85,2.5,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-42
2022-01-13,20.0,25.8,15.0,80,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-41
2022-01-14,18.3,22.3,15.1,83,4.5,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-40
2022-01-15,18.1,23.5,15.2,81,0.3,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-39
2022-01-16,17.6,22.9,13.9,71,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-38
2022-01-17,16.3,22.6,11.5,76,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-37
2022-01-18,16.3,22.2,11.7,79,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-36
2022-01-19,16.8,22.3,12.8,77,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-35
2022-01-20,17.1,22.8,12.0,77,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-34
2022-01-21,18.8,24.7,13.2,78,0.6,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-33
2022-01-22,18.5,24.0,14.7,88,5.3,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-32
2022-01-23,19.2,25.2,15.4,90,8.6,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-31
2022-01-24,18.2,21.8,15.7,89,0.5,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-30
2022-01-25,19.3,24.6,13.8,82,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-29
2022-01-26,19.2,24.7,16.2,84,1.5,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-28
2022-01-27,17.9,23.2,13.5,76,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-27
2022-01-28,16.0,21.2,12.0,66,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-26
2022-01-29,15.9,21.7,10.8,67,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-25
2022-01-30,16.6,23.2,10.6,69,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-24
2022-01-31,18.8,25.8,12.5,73,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-23
2022-02-01,19.8,26.7,14.9,75,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-22
2022-02-02,20.6,27.7,14.7,71,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-21
2022-02-03,22.5,28.5,17.2,78,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-20
2022-02-04,20.1,25.6,16.5,87,12.3,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-19
2022-02-05,18.7,23.1,15.0,72,0.1,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-18
2022-02-06,17.0,23.0,11.6,70,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-17
2022-02-07,17.8,24.4,12.2,77,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-16
2022-02-08,19.6,25.7,13.6,78,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-15
2022-02-09,20.8,27.5,15.1,77,0.0,South 24 parganas,Acute Diarrhoeal Disease,22.5760669,88.42006758,2022-02-23,-14
