date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-11-23,19.5,25.6,14.4,68,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-45
2020-11-24,19.8,26.3,15.2,74,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-44
2020-11-25,20.8,27.3,15.8,69,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-43
2020-11-26,21.2,27.7,15.7,66,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-42
2020-11-27,21.7,27.5,18.4,66,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-41
2020-11-28,22.6,28.3,19.2,68,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-40
2020-11-29,21.8,27.7,18.0,70,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-39
2020-11-30,21.0,26.8,16.7,75,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-38
2020-12-01,20.8,27.2,15.7,73,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-37
2020-12-02,20.5,26.0,16.2,74,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-36
2020-12-03,20.4,25.6,16.1,74,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-35
2020-12-04,19.9,24.6,15.9,77,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-34
2020-12-05,19.6,23.7,16.2,83,0.5,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-33
2020-12-06,19.6,24.2,15.9,84,0.2,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-32
2020-12-07,19.5,23.7,15.4,82,0.4,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-31
2020-12-08,19.3,24.4,15.6,82,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-30
2020-12-09,19.6,24.0,15.4,85,0.1,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-29
2020-12-10,19.1,24.5,14.8,84,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-28
2020-12-11,19.1,24.0,15.1,85,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-27
2020-12-12,18.8,23.2,15.0,85,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-26
2020-12-13,18.2,22.4,14.3,87,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-25
2020-12-14,18.0,23.4,14.6,83,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-24
2020-12-15,17.5,23.2,13.5,84,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-23
2020-12-16,17.8,24.0,13.9,84,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-22
2020-12-17,17.2,22.3,13.0,82,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-21
2020-12-18,16.5,20.9,10.0,75,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-20
2020-12-19,14.9,21.3,9.8,76,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-19
2020-12-20,16.5,23.0,11.3,79,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-18
2020-12-21,16.8,23.6,11.8,78,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-17
2020-12-22,17.3,22.7,12.6,79,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-16
2020-12-23,17.5,23.0,13.1,81,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-15
2020-12-24,17.1,22.0,14.0,83,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-14
2020-12-25,17.3,22.9,13.5,82,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-13
2020-12-26,16.8,23.0,12.7,79,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-12
2020-12-27,16.7,22.5,12.7,81,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-11
2020-12-28,17.4,23.3,13.3,82,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-10
2020-12-29,17.6,23.7,12.5,77,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-9
2020-12-30,18.1,24.3,13.5,73,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-8
2020-12-31,17.7,24.2,12.6,76,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-7
2021-01-01,17.7,24.1,13.6,77,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-6
2021-01-02,17.7,23.7,13.0,77,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-5
2021-01-03,17.9,23.9,13.5,78,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-4
2021-01-04,18.5,24.9,14.2,77,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-3
2021-01-05,18.8,25.8,14.3,78,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-2
2021-01-06,18.9,24.4,13.9,79,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,-1
2021-01-07,19.3,24.9,14.8,81,0.0,South Garo Hills,Acute Diarrhoeal Disease,25.347969,90.56577726,2021-01-07,0
