date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-05,28.0,35.5,22.9,68,2.5,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-45
2022-04-06,27.3,36.3,22.8,74,12.8,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-44
2022-04-07,28.3,35.6,22.5,69,0.5,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-43
2022-04-08,27.1,35.1,24.2,76,13.0,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-42
2022-04-09,26.6,33.6,23.3,81,2.5,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-41
2022-04-10,26.2,33.0,23.0,81,14.3,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-40
2022-04-11,26.6,31.6,23.4,79,2.9,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-39
2022-04-12,25.7,31.1,23.5,86,23.9,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-38
2022-04-13,25.4,30.6,22.6,86,15.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-37
2022-04-14,25.8,31.2,23.2,84,7.8,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-36
2022-04-15,27.5,32.9,22.8,76,1.5,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-35
2022-04-16,28.4,32.9,25.1,73,0.8,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-34
2022-04-17,27.7,31.9,25.4,75,0.7,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-33
2022-04-18,27.7,33.1,25.1,72,1.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-32
2022-04-19,27.4,31.6,24.6,76,0.0,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-31
2022-04-20,29.6,35.3,25.0,67,0.2,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-30
2022-04-21,29.0,34.9,25.0,70,1.7,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-29
2022-04-22,27.5,35.4,24.0,77,11.1,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-28
2022-04-23,26.9,32.1,22.9,78,0.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-27
2022-04-24,28.0,34.7,23.7,73,4.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-26
2022-04-25,29.0,35.7,24.3,68,0.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-25
2022-04-26,30.1,36.2,24.4,60,0.1,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-24
2022-04-27,30.3,37.0,24.6,62,0.7,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-23
2022-04-28,30.2,37.8,25.1,62,0.3,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-22
2022-04-29,29.7,37.9,25.0,64,0.2,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-21
2022-04-30,30.3,36.8,25.8,63,0.2,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-20
2022-05-01,29.9,35.1,26.5,66,0.1,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-19
2022-05-02,29.9,36.3,25.6,65,0.2,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-18
2022-05-03,30.9,37.6,25.9,62,0.4,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-17
2022-05-04,29.9,36.5,26.6,67,0.1,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-16
2022-05-05,30.0,35.7,25.2,64,3.1,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-15
2022-05-06,29.7,35.0,26.0,65,0.0,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-14
2022-05-07,29.6,36.9,25.2,66,0.0,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-13
2022-05-08,29.7,36.3,25.4,68,0.0,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-12
2022-05-09,28.9,34.5,26.7,71,0.3,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-11
2022-05-10,28.7,33.7,25.3,66,0.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-10
2022-05-11,27.0,31.9,23.8,71,3.5,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-9
2022-05-12,27.7,32.0,25.6,67,0.8,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-8
2022-05-13,27.4,32.4,24.8,70,0.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-7
2022-05-14,26.9,31.4,24.7,75,2.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-6
2022-05-15,25.9,28.4,24.2,80,6.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-5
2022-05-16,26.1,29.4,23.6,79,2.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-4
2022-05-17,26.2,30.8,24.2,80,1.9,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-3
2022-05-18,25.5,28.2,24.0,84,29.3,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-2
2022-05-19,25.1,27.6,24.0,85,7.6,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,-1
2022-05-20,25.9,28.8,23.8,81,1.2,Tenkasi,Dengue,9.0318958,77.36536125,2022-05-20,0
