date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-16,25.4,31.7,20.7,75,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-45
2020-12-17,25.5,32.1,20.8,73,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-44
2020-12-18,25.2,32.5,19.9,70,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-43
2020-12-19,24.7,32.0,19.4,66,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-42
2020-12-20,24.3,31.2,19.7,59,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-41
2020-12-21,23.2,31.1,17.1,54,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-40
2020-12-22,22.6,31.6,15.2,54,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-39
2020-12-23,22.6,31.4,15.5,59,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-38
2020-12-24,23.4,32.8,15.9,59,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-37
2020-12-25,24.9,33.7,17.7,59,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-36
2020-12-26,25.4,34.0,19.2,61,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-35
2020-12-27,25.4,33.3,19.5,63,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-34
2020-12-28,23.5,30.9,18.2,46,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-33
2020-12-29,22.0,30.8,14.8,60,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-32
2020-12-30,23.4,32.0,16.9,64,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-31
2020-12-31,24.9,33.8,18.3,65,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-30
2021-01-01,25.7,33.6,20.3,69,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-29
2021-01-02,25.7,31.7,22.2,72,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-28
2021-01-03,24.9,31.8,20.6,66,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-27
2021-01-04,24.6,30.6,20.5,64,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-26
2021-01-05,24.8,31.0,20.6,66,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-25
2021-01-06,25.6,31.8,21.3,58,0.1,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-24
2021-01-07,26.4,32.4,21.4,67,0.1,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-23
2021-01-08,26.0,30.2,23.2,81,3.3,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-22
2021-01-09,26.8,32.0,22.6,75,0.5,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-21
2021-01-10,27.7,33.2,23.4,71,0.4,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-20
2021-01-11,27.9,34.8,23.3,66,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-19
2021-01-12,28.6,35.8,23.0,61,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-18
2021-01-13,27.9,35.3,22.5,54,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-17
2021-01-14,25.8,34.1,20.7,63,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-16
2021-01-15,24.0,31.3,18.8,66,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-15
2021-01-16,23.3,31.9,16.9,67,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-14
2021-01-17,24.2,32.3,17.8,69,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-13
2021-01-18,25.2,33.1,19.6,63,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-12
2021-01-19,26.2,33.7,20.9,55,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-11
2021-01-20,25.4,33.4,19.3,51,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-10
2021-01-21,23.0,32.4,16.4,64,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-9
2021-01-22,23.8,33.8,17.1,70,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-8
2021-01-23,24.7,34.4,18.1,63,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-7
2021-01-24,24.1,33.0,17.3,59,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-6
2021-01-25,23.0,32.7,15.6,60,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-5
2021-01-26,22.1,31.6,15.5,67,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-4
2021-01-27,21.8,31.1,15.7,69,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-3
2021-01-28,22.1,31.5,14.9,67,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-2
2021-01-29,23.1,32.5,15.1,56,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,-1
2021-01-30,23.8,33.3,16.5,55,0.0,Thane,Chikungunya,19.1943294,72.9701779,2021-01-30,0
