date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-19,29.7,35.6,25.6,69,0.1,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-45
2022-04-20,29.5,35.1,25.0,72,0.1,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-44
2022-04-21,29.5,35.5,25.5,73,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-43
2022-04-22,29.0,34.4,25.2,74,2.3,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-42
2022-04-23,28.9,34.0,24.4,73,0.5,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-41
2022-04-24,29.9,35.5,26.0,69,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-40
2022-04-25,29.8,35.8,24.9,72,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-39
2022-04-26,29.8,35.9,24.9,73,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-38
2022-04-27,30.2,36.4,24.4,69,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-37
2022-04-28,30.3,36.4,25.7,71,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-36
2022-04-29,30.8,37.7,26.1,69,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-35
2022-04-30,31.9,39.3,25.6,63,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-34
2022-05-01,32.3,40.0,26.5,62,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-33
2022-05-02,32.6,40.6,27.4,60,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-32
2022-05-03,31.9,38.5,26.8,64,0.0,Thanjavur,Acute Diarrhoeal Disease,10.7860267,79.1381497,2022-06-03,-31
