date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-29,27.6,30.4,24.2,81,1.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-45
2022-03-30,27.3,30.7,25.1,83,3.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-44
2022-03-31,27.1,30.8,24.4,83,4.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-43
2022-04-01,26.6,29.7,24.3,85,2.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-42
2022-04-02,27.0,30.4,24.1,82,2.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-41
2022-04-03,26.8,30.3,24.7,83,6.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-40
2022-04-04,26.4,31.2,23.4,85,4.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-39
2022-04-05,26.7,29.9,24.6,85,2.1,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-38
2022-04-06,26.4,29.0,24.6,85,1.9,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-37
2022-04-07,27.3,30.8,24.2,79,1.1,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-36
2022-04-08,26.0,29.5,23.7,87,10.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-35
2022-04-09,25.7,28.8,23.2,88,16.1,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-34
2022-04-10,26.1,30.1,24.0,87,16.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-33
2022-04-11,26.7,30.5,24.6,85,7.5,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-32
2022-04-12,25.9,28.2,23.8,90,19.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-31
2022-04-13,25.7,27.7,23.6,91,14.5,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-30
2022-04-14,26.0,28.9,23.7,90,19.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-29
2022-04-15,28.0,30.6,24.6,80,0.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-28
2022-04-16,28.0,29.6,26.1,82,1.2,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-27
2022-04-17,27.2,29.6,24.7,86,7.9,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-26
2022-04-18,26.9,30.0,24.7,86,2.1,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-25
2022-04-19,26.2,28.7,23.6,88,9.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-24
2022-04-20,28.2,31.5,25.3,82,1.8,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-23
2022-04-21,28.4,31.5,26.0,83,1.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-22
2022-04-22,26.7,30.5,24.3,87,12.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-21
2022-04-23,26.8,29.5,24.0,85,4.7,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-20
2022-04-24,27.5,30.8,24.3,82,1.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-19
2022-04-25,27.7,31.1,25.0,85,13.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-18
2022-04-26,27.8,30.5,25.5,84,4.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-17
2022-04-27,27.7,30.5,24.8,85,3.2,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-16
2022-04-28,27.2,30.4,24.6,87,9.7,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-15
2022-04-29,26.9,30.7,24.1,87,5.8,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-14
2022-04-30,27.9,30.4,25.1,82,0.6,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-13
2022-05-01,28.3,30.6,26.0,81,3.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-12
2022-05-02,27.5,30.5,24.7,84,0.5,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-11
2022-05-03,28.9,31.2,26.3,80,0.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-10
2022-05-04,28.1,30.9,26.4,84,1.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-9
2022-05-05,27.7,30.5,25.8,84,8.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-8
2022-05-06,27.5,29.9,25.3,84,3.8,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-7
2022-05-07,28.0,30.8,25.3,80,1.1,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-6
2022-05-08,28.3,30.6,26.2,80,0.9,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-5
2022-05-09,27.0,29.9,24.7,87,20.0,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-4
2022-05-10,26.3,28.8,23.4,86,2.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-3
2022-05-11,26.2,29.4,23.1,85,8.4,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-2
2022-05-12,26.5,30.2,23.9,83,7.8,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,-1
2022-05-13,25.7,26.9,23.7,91,38.3,Thiruvananthapuram,Dengue,8.4882267,76.947551,2022-05-13,0
