date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-11,26.7,30.5,24.6,85,7.5,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-45
2022-04-12,25.9,28.2,23.8,90,19.4,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-44
2022-04-13,25.7,27.7,23.6,91,14.5,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-43
2022-04-14,26.0,28.9,23.7,90,19.0,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-42
2022-04-15,28.0,30.6,24.6,80,0.6,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-41
2022-04-16,28.0,29.6,26.1,82,1.2,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-40
2022-04-17,27.2,29.6,24.7,86,7.9,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-39
2022-04-18,26.9,30.0,24.7,86,2.1,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-38
2022-04-19,26.2,28.7,23.6,88,9.6,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-37
2022-04-20,28.2,31.5,25.3,82,1.8,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-36
2022-04-21,28.4,31.5,26.0,83,1.6,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-35
2022-04-22,26.7,30.5,24.3,87,12.0,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-34
2022-04-23,26.8,29.5,24.0,85,4.7,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-33
2022-04-24,27.5,30.8,24.3,82,1.3,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-32
2022-04-25,27.7,31.1,25.0,85,13.4,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-31
2022-04-26,27.8,30.5,25.5,84,4.0,Thiruvananthapuram,Acute Diarrhoeal Disease,8.4882267,76.947551,2022-05-26,-30
