date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-02-13,27.9,34.9,23.2,67,0.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-45
2022-02-14,27.7,35.4,22.3,67,0.6,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-44
2022-02-15,27.7,34.0,24.0,67,0.5,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-43
2022-02-16,26.9,33.8,22.7,71,7.3,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-42
2022-02-17,27.0,35.1,22.0,70,0.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-41
2022-02-18,27.7,35.4,23.1,65,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-40
2022-02-19,28.4,36.3,23.8,62,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-39
2022-02-20,28.5,36.2,23.7,64,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-38
2022-02-21,27.8,33.2,23.8,77,0.7,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-37
2022-02-22,28.1,33.3,24.2,73,0.4,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-36
2022-02-23,29.3,37.5,22.8,58,0.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-35
2022-02-24,28.3,36.4,23.0,62,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-34
2022-02-25,29.1,37.2,24.2,58,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-33
2022-02-26,28.2,36.0,23.9,62,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-32
2022-02-27,29.2,37.8,24.0,64,0.4,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-31
2022-02-28,27.8,35.8,21.8,68,1.5,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-30
2022-03-01,28.4,36.8,21.8,61,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-29
2022-03-02,29.5,37.3,24.5,39,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-28
2022-03-03,30.3,37.7,25.1,32,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-27
2022-03-04,28.7,38.2,23.2,52,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-26
2022-03-05,28.1,36.1,23.2,62,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-25
2022-03-06,28.4,36.2,23.9,68,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-24
2022-03-07,29.0,37.0,23.7,61,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-23
2022-03-08,28.7,34.4,24.7,66,0.9,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-22
2022-03-09,28.3,35.9,23.0,67,5.2,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-21
2022-03-10,28.5,36.5,23.9,69,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-20
2022-03-11,28.9,37.7,23.6,67,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-19
2022-03-12,28.9,37.4,24.1,69,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-18
2022-03-13,30.0,39.2,23.5,58,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-17
2022-03-14,29.8,39.8,23.8,59,0.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-16
2022-03-15,28.9,33.8,25.4,70,0.4,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-15
2022-03-16,27.9,32.7,23.6,79,4.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-14
2022-03-17,27.9,32.7,24.2,78,1.6,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-13
2022-03-18,28.5,33.5,24.3,78,3.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-12
2022-03-19,26.4,31.0,22.2,82,5.8,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-11
2022-03-20,26.4,30.4,22.5,83,3.5,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-10
2022-03-21,27.9,32.5,24.0,77,0.2,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-9
2022-03-22,28.0,32.5,23.9,78,4.0,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-8
2022-03-23,27.8,32.9,24.0,81,13.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-7
2022-03-24,26.4,30.6,22.9,84,1.3,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-6
2022-03-25,27.3,31.1,23.7,80,1.6,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-5
2022-03-26,28.1,32.2,24.2,80,1.9,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-4
2022-03-27,27.8,31.7,24.9,84,5.1,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-3
2022-03-28,27.7,33.6,24.6,85,6.8,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-2
2022-03-29,27.3,32.4,23.7,84,3.2,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,-1
2022-03-30,27.4,32.1,23.9,83,4.4,Thrissur,Acute Diarrhoeal Disease,10.5256264,76.2132542,2022-03-30,0
