date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-22,29.6,36.4,24.4,70,0.5,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-45
2022-04-23,29.5,35.2,25.2,69,0.7,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-44
2022-04-24,30.3,37.2,25.3,64,0.2,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-43
2022-04-25,31.0,37.8,25.1,62,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-42
2022-04-26,31.1,38.9,24.7,61,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-41
2022-04-27,31.2,39.6,24.6,63,0.2,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-40
2022-04-28,31.5,39.1,25.3,60,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-39
2022-04-29,32.5,41.3,26.6,58,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-38
2022-04-30,32.9,40.8,26.5,56,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-37
2022-05-01,33.5,40.6,27.1,51,7.8,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-36
2022-05-02,33.3,40.9,27.3,52,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-35
2022-05-03,32.7,39.7,27.2,56,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-34
2022-05-04,31.8,39.4,26.2,61,7.4,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-33
2022-05-05,30.4,36.4,25.0,67,0.7,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-32
2022-05-06,31.5,37.6,26.2,61,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-31
2022-05-07,32.0,38.3,26.5,58,0.0,Tiruchirappalli,Acute Diarrhoeal Disease,10.7992254,78.6811423,2022-06-06,-30
